Review Title,Review Text,Date of Stay,Author Contribution,Rating
Happy staycay,"Stayed for 2N at MBS together with my 2 kids. Complimentary upgraded to Premier room. View from room was magnificent. Rook facilities were also nice, with 2 basins and bathtub.The next day morning, we had breakfast at The Rise, our fav restaurant which we patronised min 4 times a year. Overall we enjoyed our staycay very much.",February 2020,45,5.0
Excellent staycation made close-to-perfect,"From its signature infinity pool to the stunning architecture, this hotel takes the cake on many levels (pun unintended). With just a short air-conditioned stroll to MRT station, the whole Singapore is at your fingertips. The spacious hotel room was indeed a surprise- you can’t find any hotel room bigger than this in Singapore. Unfortunately, the hotel doesn’t do anything for birthday celebrations.",March 2020,33,5.0
An excellent service!,"The service of the staff was stellar. We had a lovely lunch time in one of the restaurants. It has a truly spectacular sight from one of the most beautiful hotels in the world, looking over part of one of our favorite cities.We only found a problem, and it is that they need to have more food with decent price to cater to the local. Also, to walk from one end to another end of the hotel. It is very far.",July 2021,1,5.0
"Comfortable, Decadent couple stay during Covid","We had a complimentary upgrade and my request for a quiet room was met as it was away from the elevator. The wait till check in was heavily regulated due to Covid but the service was fantastic. I signed up for an MBS membership that same day too. The room was very classy, clean and had a great view of the Gardens by the bay. We booked our pool slot in advance and loved the view from the top too. Despite the ever-changing measures for Covid (we could not dine in at that time), I had to order food as takeaway from restaurants. The food was packed well and I made sure to order it before the dinner crowd arrived. Some of the entrances and exits were a bit confusing though. Having the MBS membership is a plus because it applies to all shops and restaurants in the shoppes and hotel. Would definitely stay again for the air-conditioned  atmosphere (everything is interconnected apart from the gardens) and privacy.",June 2021,30,5.0
Renovated rooms are amazing,"I stayed at MBS pre-pandemic and was rather disappointed with the guest rooms, they were extremely basic, more 3 Star than 5 Star, not worth the money. Heading back to Singapore I stayed in one of their renovated rooms and I was truly amazed by the transformation. The renovated rooms are top luxury, lots of accessories, a mini bar out of this world, they can finally compete with the best of the best.",October 2022,"2,030",5.0
Wonderful stay at MBS,"Would like to give a thumbs up to the services provided at MBS. Got an upgrade to Orchid suite for staying over during our wedding weekend. A super pleasant surprise. Check in was done at Sands Lounge- Renee who was serving us at the lounge was super patient and friendly explaining to us the perks. Then when we went up to the room, we were so impressed by the view we had! We could see the gardens and the harbour directly below us. The room had a small balcony that is sufficient for us to stand and chill with the breeze. The bathroom came with a super spacious vanity room with a bath tub too! Special thanks for Sean Liaw for all this arrangement, including a bottle of champagne and some mini chocolates... again small touch that goes a long way.... Breakfast was delicious at RISE, which we didn’t have to wait too long as were down at around 830am. Subsequently after 9 am there was a long queue forming up already.  The pool - just one tip- please book once you are given the link if not you will not stand a chance to do so. Do not pick 6am or any night slots if you are someone who hates cold water and chill wind. Will spend the remaining of the day chilling with a book in the room to enjoy our day! Thank you for MBS for giving us such a memorable honeymoon stay! Will comeback again!",December 2021,5,5.0
Services with smiles,"From the start to the finish, John and Andre from the Premium Service team, show an immense courtesy, professionalism and knowledge of Singapore and its wonderful attractions. We were met at the airport by an assistant who took us through passport control who without her knowledge, we would have found it’s difficult to answer all the questions to gain entry to the country. They made one kind gesture sending us a complimentary Singapore Sling. The whole team from Premium Service team should be congratulated for the representation of the Marina Bay Sands hotel.",April 2023,18,5.0
Fantastic Pool Experience,Splendid panoramic view of the Swimming pool. Staffs there are warm and friendly esp lifeguard Kelvin Chua he is very attentive and helpful in leading and directing us to our designated pool area. He also ensure that guest's safety are taken care of by explaining the safety protocols to us. We felt very welcomed from the hotel Staffs,February 2022,34,5.0
Fantastic!,"My friend and I had booked a stay at MBS during November (Covid SSM still in place). Shirley checked us in on the desk and organised a special room for us. We were taken to our room - the veiw across the city was brilliant. The room was tidy and clean. The bathroom and bath tub were excellent. We booked a pool slot for the day time and lifeguard Moe was very friendly and helpful. We were able to book an evening slot for the pool too (really recommend doing this if you can) and Leo was the pool attendant at night. Again very helpful and friendly. Other mentions for excellent staff: Kate and Camille and Zack. Overall, a brilliant stay with excellent staff. Thank you!",November 2021,8,5.0
Famous landmark and pool,"Staying here for 2 weeks. Maybe due to tower 2 closed for renovations, the hotel is near full occupancy. Couldn’t book a suite and settled for a room with “garden” view. The garden is the supertree grove so pretty cool. Got a low 12th floor so pretty disappintedThe porter is helpful, the front desk pretty grumpy. The rest of the staff from housekeeping to operators to gym/pool staff are thankfully as pleasant as the porterThe room is ok sized with a generous balcony and 50-60 inch flat screen tv. The bed is disapponting - not king sized nor luxurious. Towels too, are worn and cheap feeling. So no 5 star luxury feels hereBecause the hotel is huge with 3 towers, it is extra exercise walking to the gym and pool. The gym is large and ok. The world famous pool is always crowded as expected, but nice since it’s 57 stories upFor convenience, the shopping mall is connected and you can literally get and eat anything thereWrote seperate reviews for the hotel restaurants 7/10",June 2022,"26,690",4.0
Impeccale hotel with best gym facility,"MBS , without a doubt is sheer absolute one of best hotel in Asia. I got sands premier room upgrade and it is newly refurbished. They have also new gym with impeccable staffs namely Uma and Rocelyn. I recommend MBS for your city gateway.",November 2023,3,5.0
Very nice staff at the Marina Bay! The employees are very well trained and polite. I loved every interaction we had.,"Loved it! The staff is amazing. Special thanks to Chanoy (I’m not sure if I’m writing it right) and Ben from the fitness center! The hotel is wonderful, the rooms are very comfortable. I’d definitely come back again.",November 2023,1,5.0
Amazing premium service from MBS,"We had an amazing bday celebration for our mothers. We booked 3 beautiful rooms. MBS Premium service was amazing. No need to queue for registration. Registration and payment can be done inside the room. The newly renovated rooms are better than the rooms we booked previously. The staff are also more hospitable now, a lot of Filipino staffs were also there to assist us from the moment we arrived and assisted us until departure. The service has really improved a lot! We will definitely recommend to our friends and family who will visit Singapore.",November 2023,2,5.0
Amazing,Amazing.All the pictures you see are true.Forbes voted it one of the best hotels In the world!Great views over the city from the pool.Hospitality is second to none and nothing is too much trouble.Great shopping mall underneath and the hotel as @60 restaurant to choose from,November 2023,161,5.0
Excellent Location and a Great View,Excellent location and a great view.  There is a MRT just outside tower 1 and it’s a short walk to the Gardens by the Bay. If you want to splurge go for the Premier City View rooms on floors 32 and above. If you stay in tower 1 you can take an elevator directly to the famous infinity pool on the roof but if you stay in either of the other two towers you’ll have to take two elevators up to the pool. Even if you stay in the less expensive rooms you still get to use the pool and other guest only areas and you can always enjoy the view from the roof.,November 2023,178,5.0
A very new and  cleanest room ever!,"rooms are pretty big, clean with spectacular view of city. love the service and room dinning experience and the gym equiment at the shopping mall. Appreciated the sand lounge check in area and the helpfull staff over there",November 2023,1,5.0
The best hotel,"A superb experience from start to finish. Lovely rooms. All staff were friendly, helpful and professional. One of the best service we have ever received in the hotel. Definitely the best place to stay in Singapore!",June 2023,2,5.0
Fitness center,"The staff at the fitness center on the 3rd floor of the convention center were friendly and made my stay comfortable.  They come from Thailand, the Philippines, and Myanmar and have wonderful smiles. The facility is clean and I am very satisfied.",November 2023,1,5.0
Best hotel in Singapore,"We throughly enjoyed our Marina Bay Sands and if you are in Singapore and thinking of staying here DO IT it is worth every penny! A huuuge thank you to the kind gentleman who checked us in we think his name was Arty or Andy as he upgraded our room to one of the newly renovated premier rooms free of charge which made our stay even more special, the premier rooms are luxurious and have everything you could need along with a stunning view of the gardens.The hotel facilities especially the rooftop infinity pool and sky observation deck (which you can visit as many times as you want) are amazing you can continue to use the facilities once you have checked out which is an added bonus. The breakfast has soo much choice and we had dinner at the Lavo restaurant which was fantastic. We would definitely stay at MBS and highly recommend spending that little bit extra for their premier rooms. Thank you to everyone for a fantastic stay.",October 2023,3,5.0
Cleanest and tidiest room I’ve ever stayed in.,"Stayed at Tower 1 for 6 nights. Very comfortable and clean rooms. Spacious and newly renovated. Room service was 5 stars. The attendant, Ms. Ya Way, kept the room immaculate and was extremely polite and attentive. Also the check in and checkout team are to be praised as the service was quick and flawless. An experience to repeat.",November 2023,27,5.0
Worth it. Do it,Amazing hotel. Obviously the infinity pool delivers but what was most amazing was they kept the whole experience friendly and personal. All the staff should be commended that's an incredibly difficult thing to do with 2000 rooms. The view over the bay from our room was stunning,December 2023,42,5.0
Best hotel ever! Highly recommend the family suite!,"Excellent service and beautiful family suite! From even before we arrived, we were contacted by the premium services team as it was my bday, they organised our arrival in a private limousine, exceptional check in within our suite with no hassle. The suite rooms were beautiful, with the newest technology and modern decor with everything we needed and more! The restaurants, facilities and shops are top end! Highly recommend staying here for anyone with young children! Best hotel we have ever stayed in!",December 2023,2,5.0
What a view!,"This hotel is out of this world! Benjamin on reception checked us in and was absolutely charming and we were upgraded as it was for a special birthday. Friendly, welcoming service. Room was gorgeous - even had its own cocktail cabinet! Of course the highlight is the skypark on the roof where the views are absolutely fabulous. You don't even need to bring your own suncream as it's provided. A drink in the skypark's bar  is a must for the evening as it's truly stunning when the city is lit up as well as the Gardens by the bay. Well worth the money.",November 2023,13,5.0
Best Staycation,"It was a staycation plan for my mom's birthday celebration. A wonderful experience with the room, the facilities, premises accessibility, the pool, the food and service team from MBS. It was far more surpass our expectations. A huge thank you to Ms Hill as she was very professional & helpful during check-in. She made extra effect to check and fulfilled my request hence given mom's an exceptional experience with the stay. We would like to commend the services team from RISE restaurant as well. Thank you Mr Carlo, Ms Mina and Ms Crystal for giving us a happy dinner time. The buffet dinner food varieties and quality leave deep impression for us. Seafood is fresh and we enjoyed it a lot. Lastly, overall congratulations to MBS Teams they all did so well, and we definitely book our staycation with MBS again.",December 2023,3,5.0
Great premium service,"Stayed at city view suite with my mom. Great view, comfortable bed, high quality facilities & amenities. Look for Daniel Tuong & the premium service team. They are excellent with a lot of attention to details & very customer focus.  For us, the service is the highlight besides the view. Giving this experience a 4 not a 5 as it’s really a hassle to park the car. It’s far from the hotel  lobby & it’s always full. Please make sure you get concierge service if you are travelling with elderly people or with luggages.",December 2023,28,4.0
An unforgettable stay,"Excellent service, beautififully styled Room, Lovely in every détail; breathtaking View from our room; mémorable pool, friendliness of each and everyone; very good Choice at breakfast at the Spago Restaurant",December 2023,2,5.0
Memorable Experience in Singapore,"I celebrated my birthday at the hotel as part of my vacation and I could not have had a more memorable experience. Paula at the front desk arranged a few surprises to make my day extra special. We had the iconic / signature experience of Singapore during our stay. My husband and I loved swimming in the infinity pool, exploring many shops at the mall, and walking to the Gardens by the Bay.",December 2023,5,5.0
Amazing staff,"Amazing staff, nice gym, awesome infinity pool. The gym is wel equipped and the there is everything you need for powerlifting. The staff are so kind and helpful and sweet! In particular Affa, Uma, Chanouk!",December 2023,3,5.0
Honeymoon and 30th Birthday week,"I had an unforgettable stay at Marina Bay Sands, and Guna's exceptional service at the rooftop pool truly stood out. He went above and beyond to cater to all our needs, even surprising us with complimentary drinks to celebrate both my 30th birthday and honeymoon in the same week. The attention to detail and personalized touch made our experience truly special. Highly recommend!",December 2023,1,5.0
recommendation of Chinee,The hotel room stay is amazing as usual! However one thing that surprise me is the staff Chinee at the check in counter. Her service was amazing & provided all the information that was required. It makes the whole experience even better.,November 2023,2,5.0
Marina Bay Sands Hotel Mr. Ray The Guest Service,"I would to extend my compliment to Mr. Ray, the guest services of Marina Bay Sands Hotel. I appreciate the unexpectedly amazing service when I last visited MBS on 5 November 2023 to 6 November 2023, Tower 2,1199. His patient & having a caring attitude is worth commendable. Thank you MBS for having such a wonderful staff.",November 2023,3,5.0
Unforgettable experience!!!,"Our stay at Marina Bay Sands was excellent!!! The infinite swimming pool and the jaccuzi are experiences that cannot be described in words! The service of the staff in everything we asked for was immediate and always extra large positive! I would like to give a special mention to the gym staff at the fitness center, Chanok and Oddie, for their professionalism and hospitality, they made us feel very welcome and treated us like we were special people! Thank you very much for everything! We hope to return to Marina Bay Sands hotel soon!",October 2023,1,5.0
"Great ambience, lovely staff.","The gym was clean, beautiful and well equipped. Lucy and Chanok were very helpful and welcoming. They even gave us a tour around. There were ample refreshments and they even had wireless headphones available.",November 2023,1,5.0
What an amazing experience,"What an amazing experience we had staying at Marina Bay Sands. From the moment we got out of the taxi and were met by Ian who was so friendly and helpful, we knew we were in for a treat.  At the reception desk, we were served by Ruchelle. She greated us with kindness and warmth and ensured the kids were spoilt. We were only staying one night, as a treat for our daughters birthday, and when Ruchelle found that out, we were upgraded to a VIP suite. We enjoyed canapes and drinks, buffet breakfast, drinks by the pool and our Butler Charm, even brought a birthday cake up to the room!  Thank you Marina Bay Sands and especially Rushelle, Ian and Charm for treating us to a stay at MBS that we will never forget!",October 2023,1,5.0
Awesome staff in the fitness center!!!,"Excellent staff in the fitness center, they are so friendly!! We had a great time there, talked about our trip and also about many cool subjects. They even gave me a 2$ note souvenir. Thanks so much for your attention, guys!!",November 2023,1,5.0
Great treamtment,Thank you Oddie and Chanok for an amazing service. Very kind and helpful. The gym is very nice and clean and we got a great treatment from all the people working there. I recommend the fitness center!,November 2023,5,5.0
Amazing stay at Marina Bay,"Super friendly staff, top service at the hotel. As a gym-goer I had a wonderful experience at the gym with the gym staff. Protein and booster are offered. It also has a vast amount of stores with delicious food",November 2023,5,5.0
MBS gym,"I have come to the gym at MBS weekly in the past months and I'm happy to say that I've found a nice space where I can workout in peace and learn the basics of calisthenics. Ben is the instructor that has being teaching and guiding me in calisthenics strength and conditioning with patience and knowledge.Nice atmosphere for a workout, clean and tidy as well as polite, helpful and caring workers, always with a smile and willing to help you with anything.Kudos to all of them, specially to my instructor Ben!",October 2023,1,5.0
Marina Bay Sands - a Great Place with amazing staff!!!,One of the best hotels with amazing staff in the world. Huge Thanks to curb-doorman Jeffre David Drilon who assisted us with our issue. Would recommend to visit this wonderful place with the great roof pool.,November 2023,1,5.0
Revisit to MBS Gym,"MBS Service has been impeccable especially with Uma and Roselyn who have been so  friendly and attentive to our needs even in the gym.  Now less convenient to reach from the Towers, it is  located above convention hall L3 with a slightly bigger area for all the gymholics.",November 2023,1,5.0
New gym!,"Love the new gym facilities, amenities and service! Really nice service staff who remember us after our 1st visit and offers us lemon/cucumber infused water, tea, coffee, fruits and cold towel after workout!",November 2023,1,5.0
Amazing Hospitality Service,"Went for a staycation for two nights at Marina Bay Sands for a quick getaway to recharge after a long week. The suite was spacious with an amazing layout and a soft bed with crisp sheets. All the meals were really scrumptious with a lot of options to choose from. Particularly had a nice dinner at Wakuda and the Wagyu Yaki Udon exceeded my expectations, along with the Ora King Salmon Maki. Food came really quickly and staff had an excellent service attitude. The stay was made pleasant by the service of two butlers, Danial and Ronnie. They were fast and efficient, and very attentive to detail. Nothing was too much trouble for them, and they went out of their way to assist with all the requests to ensure that my stay was comfortable. With a glance, you can tell that they are very passionate about their job. Their service went beyond my expectations and it was everything I can wish for. Would love to go back for another stay in the near future.",November 2023,1,5.0
Amazing service at fitness centre,"Lucy and Roselyn were attentive and helpful with my needs. Both of them were very attentive and pleasant.  It was a pleasure working out  in the fitness centre . Thank you very much Mariana Bay sands. With a lot of love,Sivakanesh Sanmugam Ettikkan",November 2023,2,5.0
One and Done,"Eh, a lot of money; better to just visit and stay somewhere else.  It's not near anything, and the restaurants are way overpriced.  Yes, amazong architecture but I say one and done.  If need be just stay one night if you must so you can go to the pool.  That's a nice experience.",September 2023,12,3.0
The best if the best 5 star hotels,"We’ve been to luxury/5 star hotels before but this is a true cut above! Buffet breakfast was unbelievable, room and view couldn’t be beat, could even sea Gardens at the Bay Supertree light show from it. Convenient to so many places. If you have a voice make it this hotel in Singapore! Honey in guest services was the best, helping us with everything! Hotel is spectacular, light shows fantastic!!",November 2023,1,5.0
Excellent Hospitality,"I’m  writing to express our sincere appreciation for the wonderful experience we had during our recent stay at MBS Hotel. From the moment we arrived, we were impressed by the warm welcome and excellent service provided by your staff.The complimentary room upgrade that we received during our stay from Mr Shawn, the Executive Director,  was absolutely stunning, and we were thrilled to have the opportunity to experience such luxurious accommodations. The room was spacious, clean, and well-appointed, with all the amenities we needed for a comfortable stay.What impressed us the most, however, was the exceptional service provided by the hotel staff. They were always friendly, courteous, and went out of their way to ensure that our stay was enjoyable. I must say that our experience at MBS hotel was truly exceptional. The room upgrade made our stay  even more incredible and it added this once-in-a-lifetime experience for my husband,  together with our young kids on my husband’s birthday.  I would like to commend the staff for their outstanding service and thank you for creating such a welcoming and comfortable environment for your guests.Please feel free to share my feedback with your team, and I look forward to staying at MBS hotel again in the future.",November 2023,2,5.0
Very nice experience and super nice service,Service in the gym was very good. Everything was organised and nothing was broken. Staff was extraordinary friendly.It is not a large gym but it covers all of the essentials. They even have a set of Theraguns with is very outstanding. I will defined visit again.,November 2023,1,5.0
Nice gym,"Very clean and organized small gym, with a decent selection of well maintained equipment. Oddie and Ume were very friendly and always there to help. I would recommend this to a friend and visit again.",November 2023,1,5.0
"Convenient and very nice rooms, but not the best value for $$$","Mixed feelings. It's very convenient and comfortable, but also not the best value for the amount of money. I also didn't like that I felt that the hotel tried to upsell me at check-in for the same room.",November 2023,4,4.0
Fantasy  Rules!!!,"The place is enormous! Everything is very grand. It's pricey as you would expect but it's a world unto itself. The pool is such a delightful time but make sure you go early or during check out time to get a lounge by the pool. The views can not be described you have to see it to believe it. We stayed in Tower 3 but all towers have amazing views. What we didn't like were some rules they had about what shoes men could wear to the restaurant by the pool. Men can not wear sandals, even expensive ones but the ladies could. And this was just to get a drink. The hostess was not very gracious in explaining this to us and she was difficult to understand. It left a bad first impression on us as we just arrived. What saved this visit were the light and water shows, the views, beautiful rooms and the wonderful concierge Din. He spent so much time planing our time there and made every effort to make our stay fun and found the kind of places we were most interested in. The mall attached to the hotel is also a maze of shops and food court. The food there is just OK, better to go to China Town. I don't recommend Little India for a visit. It felt unsafe (saw a drug deal right in front of us) and very dirty. Stay around the hotel where there are many food options. It's quite the experience.",October 2023,218,4.0
Not the exclusive experience we where  expecting.,"Not Sophisticated a bit on par with a premier Inn The room is very basic the bathrobes poor quality and poorly pressed. The toiletries not very good quality. The best thing was the huge TV  only there was nothing to watch no Netflix and no Amazon. The Front foyer was nothing short of madness you couldn’t distinguish between guests and the public everybody taking pictures and selfies for there social media.Ever type of poorly dressed flip flop local you could imagine. The selling point is the pool that’s if you can get into it, the water was to warm not refreshing at all 100s of social Medea ’ fools taking 100s of selfies in all kinds of poses you can imagine.  Most people seem to stay only one or two nights and leave. Such a shame for such a beautiful iconic building. Without the madness in the foyer and with a little control it could be improved  some people entered the lift without room keycards to see if they could gain scoot the upper floors and the pool area the security was so Poor.Hotel management not visible anywhere the staff are delightful and helpful at all times. But we will never go back despite its position. Next time it’s the Fullerton Hotel for us. More genteel more sophisticated better value.",September 2023,571,3.0
Magnificent.,One of the most iconic hotels in the world and very majestic indeed. The amenities and comfort of this hotel is unmatched anywhere i have stayed. The infinity pool is the must and it is breathtaking view is unparalleled.,July 2023,22,5.0
"A pride to stay at MBS, but be polite at restaurants please","Good room - what you'd expect, clean and functions very well. Sound proof. The pool was a great facility , albeit a bit cramped , you forgive this for the vibe and fun feeling.We really liked the hotel experience - shoppe, casino, several restaurants and bars and most team members were friendly and helpful We were disappointed with some of the dining experience - some staff and overall service were spikey and it was sometimes slow making it really poor value, given the food was good (but not outstanding). We did feedback a couple of examples when we were at the hotel, but it seemed to continue and was a little bitter taste for an overall great stay. We felt great coming back to MBS when out and about , a sense of pride in some ways.",October 2023,131,4.0
Pricey but worth it!!,"Our hotel experience made our Singapore visit a trip we’ll always remember. We stayed for 2 nights, and there were so many things to do in and around the hotel grounds for free. Super trees (don’t miss the light show), the Skypark, the Spectra sound and light show in front of the bay, and the rooftop infinity pool was amazing. And all the hotel location made it very easy to see the big sites of Singapore and come back to the hotel to rest from the heat when needed. The hotel staff made us feel like royalty: Joan was so helpful with activity & meal recommendations, Roselyn was so amazingly accommodating and professional at the fitness center (and Uma, too!), and our bellman, Yezar, was very impressive during checkout making sure we had our many bags taken down on time and ready for our transport. Amazing experience that everyone should enjoy at least once in their life!  So glad we stayed at the MBS!",October 2023,6,5.0
Come for the architecture. Stay for the service!,"Come for the architecture. Stay for the service! Yes, amazing architecture in an amazing location. Amazingly clean! What was most amazing? Smiling faces of Patrick, Chenna & Ruby! Thank YOU! Including the shopping mall and casino adjacent, you could spend days here without tapping it off!",October 2023,592,5.0
The Best Ever Experience,"Every detail of the stay was magnificent and many things surprised us to our delight as above and beyond expectation. Infinity pool, amazing staff, incredible room , restaurants and food was wonderful . Every detail was perfect",September 2023,3,5.0
Great service,The guest relations team provided us with excellent service. Especially Allisa! Thank you for the cake and wine provided to us as I told her it was my parent’s anniversary day :) The overall stay was amazing.,October 2023,1,5.0
"PREMIUM SERVICES , definitely PREMIUM","The premium services went above and beyond to assist me after my accident on my holiday.And made it much more enjoyable.The facilities they offer and service for disabled is absolutely amazing .Cannot thank them enough. The extra service and personal touches was just outstanding. A big Thank you to Mark and the team, for making my experience at MBS and uplifting my mood and very much looking forward to return.",September 2023,3,5.0
Wonderful Stay at Marina Bay,"Top-notch luxury hotel in Singapore!! The rooms and bathroom were very large, luxurious and comfortable. Our room stylist was extremely friendly and gave us additional amenities!! I would like to mention that the check in time was 3pm, but the staff were very kind and let us get our room as soon as possible. And allowed us to check out a bit late. The infinity pool was very fancy, we went there during daylight because it the weather was hot, and at night time for pictures with the amazing city view.Slightly disappointing that we got the city view instead of the garden view (we will look forward the next time we stay at Marina Bay to get a garden view room). I also noticed that when we turned on the security chain on the door, and tested it by trying to open the door, the chain fell off, reducing the levels of security (although Singapore is very safe). Given the price of one night it would’ve been better if we got a breakfast included.",September 2023,5,4.0
Sweet Escapade at Marina Bay Sands,"The moment we entered in our room, we were welcomed with nice complimentary treats and had a quick tour on what to expect. We were delighted with how elegant and spacious the room was. We certainly had a stunning view from our room seeing both the Art Museum / Helix Bridge! It was above and beyond our expectation as the hotel was equipped with Salvatore Ferragamo and all other essentials were provided. The hotel is indeed surrounded with beautiful attractions and was an easy access. Everything were nearby our hotel: Gardens By the Bay, MBS shopping mall, Marquee and Casino (prepare to walk a lot). THE INFINITY POOLIt was a lovely morning when we head to Infinity Pool and had nice breakfast at Spago. When one of the crew found out it was my birthday, I was surprised with mocktails and danced while serving. It doesn’t stop there, right when we got back to our room, I was surprised with a birthday cake! So much gratitude to the Infinity Pool Crew Christy and Dennis for making this one of the most unforgettable moment I have ever experienced and made my stay in Marina Bay Sands spectacular.",September 2023,2,5.0
Awesome place,Awsome place to visit with friends too quite place.. Had a good time with everyone. Eco friendly place to visit...... I ould suggest to got here and enjoy the view there nrjfjsnsmskksndjdjdjdnsmlslsmmsmsnsnnnsj,December 2023,2,5.0
Friendly gym,Uma and Roselyn are very friendly when we visit the gym. The gym provided coffee drinks towel. Me and my friend have a very great time there in the gym. You can literally come here with bare hand. They provided everything,December 2023,1,5.0
One of those “Must Stays” that lives up to Hype!,"So, this is one of those “must stay” hotels that actually lives up to the hype. From the time we arrived in our taxi till checkout we were impressed with the staffs attention to our needs even though it’s busy all day long. The staff were pleasant and rooms clean. Even when they check your room key prior to access to the roof pool, it was painless but effective. Getting restaurant reservations when it shows booked online was also a plus. The location is of course top notch. I’m not sure I would need to stay more than a few days, but the two nights we did stay were fantastic.",November 2023,323,5.0
A whole town in one hotel,"Great hotel. We had a room next to lift, during night the sound was a bit disturbing. Shopping town is great. Staff excellent. Pool is nice to see, quite small and lots of people taking pictures of themselves.",November 2023,13,5.0
Lovely views,Well worth a visit for a few nights. Very nice room with a fantastic view of the gardens.The pool was something we looked forward to but besides the view the pool itself can get crowded. Other than that a great stay.,August 2023,3,5.0
Enjoyable stay at MBS!,Had a great stay at MBS!Hotel room is nice and luxurious. New too. Great view of the bay.Decided to try the hotel gym. Glad we did. The gym is clean and nice and well equipped. Equipment are new and well kept. Towels are clean and pristine white. The staff are very friendly and helpful too especially Lucy and Rosalyn who attended to us. They are very attentive and are able to anticipate our needs. Showed us around and explain the use of the gym. Shared info of upcoming classes too. Thank you for the great service ladies!,December 2023,1,5.0
Thank you Mina!,"Just spectacular!! Rooms are exquisite, attention to detail- impeccable. What a world class experience! A huge thank you to Mina for looking after us at dinner at Rise ! We appreciate your hospitality and outstanding customer service.",November 2023,1,5.0
