Review Title,Review Text,Review Date
Still a world famous hotel with very attentive staff,"Stayed here for one night during our honeymoon and received a free room upgrade to a deluxe bayview room. Very uncomplicated check-in process and attentive staff. The infinity pool is more like a public swimming pool and totally overcrowded. People (especially influencers) tend to go there to take pictures only and not enjoy the view itself, which is a bit annoying. But that itself is probably part of the concept and why Marina Bay Sands is famous all over the world. Our room was one of the newer rooms and everything was clean and tidy. Room service also worked without any problems. We also had a great view at the light show in the Marina Bay at night. Definitely a must stay when you are in Singapore.",Date of stay:
I recently had the most rejuvenating spa,"I recently had the most rejuvenating spa experience after a 19 hour flight from JFK. Chrystal, my massage therapist, was absolutely fantastic! Her skilled hands melted away all my tension, leaving me feeling completely relaxed and refreshed. Additionally, Honey at the reception provided excellent customer service, making me feel welcomed from the moment I walked in. The ambiance of the spa was tranquil, and the overall experience exceeded my expectations. I can't wait to visit again for another pampering session!",Date of stay:
Marina Bay Sands,"Singapore. Does it again .
Singapore Airlines is class too.
This is another symbol of well said Luxury .
Classy in her own way. The bath ,toilet and toiletries special credit. I’m just mentioning about rooms only -standard rooms.
This Is Singapore style.
The infinity pool excellence.
My photos shall tell the rest",Date of stay:
Exceptional spa at Banyan Tree Spa MBS,Excellent service from Hany and therapist Lisa at Banyan Tree Spa. Recharged after a 90 minute spa and be greeted by picturesque view of the city's skyline and waters after the session! A peaceful environment with top-notch service that makes your day.,Date of stay:
Terrible Experience at Hefty Cost,"Post on behalf of husband butnI was one of the occupants.

Subject: EXTREMELY DISAPPOINTING EXPERIENCE

Although I know MBS will still fully book no matter how bad their services are, no matter how many complaints they receive, but I still wanna share the bad experiences during my stay on the 8 mar.

1st Booked 7 rooms, sent email to request check in together for all rooms, reservation team replied ok, but during check in, front desk was unfriendly and said cannot check in together because I was not there and my wife checked in for me. My wife requested high floor and only given 7th floor, and she requested to check in together so that my guests will not get low floor, but front desk person said will try their best, so wife requested the lady to prepare all keys and I only need to retrieve when I reached with guests. The front desk lady said ok but when I reached with guests, front desk took 1 HOUR to give me key cards!!! Really really bad!! All the promises were all lies!! My guests are extremely disappointed all due to MBS EMPTY PROMISE AND inflexibility and rigid staff. Despite me paying so much but not getting the right treatment is just basically horrible.

2nd, we got 7th floor room and there was strong sewage smell, wife told the housekeeping but She gave only diffuser and explained cannot do much because smell from drain. The housekeeping lady was nice but she couldn't do much and Wife needed to go off and front desk packed so couldnt request for room change. Ended up we believed the sewage smell or diffuseR cause my son's nose to be sensitive and did not feel well after spending the night there. Really really bad!!! Spent 10k yet stayed in sewage smell room, emailed MBS ask for compensation and yet MBS person said no compensation. Of course la, they wont bother small business from me, they no need do any nice thing hotel also full, so why would they bother about my complaint right! They called me to say sorry but useless la... The sewage smell was obviously full of bacteria.

3rd, the worst part ---we went for breakfast at Spago and my wife almost ingested a part of chipped handglove is really atrocious and disgusting. I seriously thinking of cirluating the photo around but my wife's stopping me from doing so. I was not there with wife, because I was busy, if I were there, should really post the disgusting glove in porridge. They took the glove rather quickly though. So they waived off the breakfast but I think that was only fair because we didnt even eat anything after that disgusting glove! I WANT TO HIGLIGHT THIS, how can a hotel claiming to be a 5 star hotel making such unacceptable nonsense mistake? Totally atrocious. I paid a lot of money for the smelly room with unhygienic retaurant.

Sent few emails but no reply until say will.pst FB, so called to say sorry, which really useless. Compensation should be given but like i said, their business good so they cant be bothered.

I am extremely angry, disappointed and unhappy with my stay at MBS, share with you all la to make this known or I feel sibei imbalance. 10K le!! Yet worth less than 1k for sure!",Date of stay:
Nice Room - mediocre service,"Booked a gardens view room but got offered a city view suite in Paiza wing at no extra cost. Overbooked?. Very luxy suite with electronic everything, including toilet!. Lots happening city side and it turned out a good decision to swap views. Hotel is vast with a 20 minute walk min to most restaurants in the Shoppes mall. Gardens by bay light show is underwhelming and can be viewed from observation deck anyway. Very impersonal mega hotel - mediocre to poor service.",Date of stay:
Marina Bay world class,"Amazing hotel and loved the facilities. Being someone that enjoys the gym I was so pleased with Chanuk and Oddie who served me and provided great tour of the gym and was blown away. They are a credit to the hotel.

Must visit hotel and experience",Date of stay:
An amazing experience at the Marina Bay Sands,The team at Marina Bay Sands really created a phenomenal experience earlier this month when we stayed there for our Taylor Swift concert trip. The amazing Butler team made the whole trip so seamless for all of us. Thank you Danial and Brady. Of course there are few others we don’t know all the names. It was an amazing experience of the lifetime that my goddaughters would never forget. THANK YOU for your hospitality. You are really impressive!,Date of stay:
Nice touch.,"While the initial check in experience was not as expected, Nicole from management called and went above and beyond to offer solutions.
Nice touch Nicole, This hotel is well located and is very well maintained. Friendly staff are within reach and are very attentive.",Date of stay:
Amazing experience at MBS with superb hospitality and services,"I booked the Sands Premiere Suite to celebrate my anniversary with my fiancé. We received amazing services from The Premium Services, a major shoutout to Eunice for her amazing hospitality and making our Anniversary celebration an especially memorable one. Its definitely one of our best staycays; the room looks even better than the photos, the bath tub was so big, and the amenties were well maintained. The hospitality and services provided by all the service staff were top notched and highly professional. We highly recommend it for any celebrations :)",Date of stay:
Incredibile,"Nina is amazing as all the team, I loved her hands and the facial massage . The spa is a beautiful location at mbs and the final treats are amazing. Please go if you have the chance, this is quite expensive but it worth, great experience with my friends",Date of stay:
No one will care about your requests at this hotel.,"1st night so far and extremely disappointed.
Checked in after midnight. Paid full rate and upgraded to a premium room at over $1000 per night.
Notified hotel about our super late checkin days in advance and requested a room on higher level and close to Elevator.
After waiting 35 minutes to be checked in, we were given the lowest level and as a result due to lower level , long walk away from the elevator.
Much worse than not caring about our requests was the interaction with front desk,
1st manager did noting and her manager came out repeating exactly what the 1st person was sayings: simply ""sorry thats all we have ""
If you care about customer experience, this place is NOT IT.
5 STAR HOTEL acting as a 2 star hotel when it comes to customer service.
Will see how the remaing 2 nights go and will post an update.",Date of stay:
Bucket list hotel,"We splurged to stay here for the final night of our Singapore stopover. We were lucky to get upgraded to a newly renovated room overlooking the park, and it was pure luxury. So this review comes with the caveat that we did not pay full price for the room we got. If we'd stayed in the lower room type we actually booked (which was still incredibly expensive), our review would only be 4 stars because it wouldn't have been as special.

Moving on... The lobby was busy but there were helpful staff to direct us, and check-in was relatively easy. We tried using the app but it wouldn't sync our booking to our room (possibly because of the upgrade?).

The rooftop pool is as amazing as everyone says. Unfortunately we had bad weather and didn't get to fully enjoy it, but can't blame the hotel for that.

If you get a room overlooking the park, you can enjoy the Supertree light show from the comfort of your room! Great for us since it was raining during the show, so we didn't have to risk getting soaked.

They kindly gave us access to a shower room after check-out so we could freshen up before our evening flight home. It was basically a small hotel room (no bed) with the bathroom stocked with amenities, plus water bottles and snacks. Amazing!

It's important to note that all the shops and restaurants in the adjoining mall have significantly inflated prices. Even Starbucks and Din Tai Fung (dumpling restaurant) were way more expensive than at other Singapore locations. On that note, we highly recommend Origin + Bloom cafe in the lobby for a coffee and pastry.

Would we stay here again? We wouldn't come back until all rooms have been renovated, to ensure it's the special experience you'd expect for the price you pay.",Date of stay:
The perfect anniversary celebration experience,"The perfect experience for an Anniversary celebration, thank you to all the MBS team! From the pre-hotel transfer arrangement, to the welcome surprise, to even more lovely surprises, we were spoiled beyond belief.
It was our 30th dating anniversary and I chose a Suite at MBS to spend a special night with my wife. We enjoyed the whole experience: the room was fantastic, the service was incredible, the attention to detail second to none, the pool lovely as always, breakfast was good. We got help from the team booking a last minute reservation for dinner at one of the MBS restaurants, which was fantastic, but our choice of restaurant was not as good as others we've had before at MBS. Still very grateful to the MBS team - you guys rock!",Date of stay:
Wonderful stay.,"I usually find hyped up hotels disappointing but not Marina bay sands hotel. It was amazing and lived up to the reviews. The infinity pool was superb as were the helpful staff, finding me a pod to sit in as I had to stay out of the sun. The room was beautifully appointed with nice little added touches, bookmarks and cable ties left by room staff and a soft drink complimentary bar with crisps. The two breakfasts restaurants were excellent with fabulous choice. Perhaps the most pleasing aspect was that we had booked 3 nights but had to check out a night early as we had made a mistake with our flight and Judith, the manager agreed to just charge us for 2 nights. This was very much appreciated. Thank you to all the wonderful staff at marina bay sands.",Date of stay:
Great to see,"It was an amazing experience inside the Marina bay sands, luxurious and artistic. Went to the other shopping side to see a wonderful canal ride. Venice like setting inside the luxury all around. It had a great casino also to have a look around.",Date of stay:
Relaxing and tuning in to self through various textures of sound,"What a lovely way to start the morning!
Peaceful with serene morning breeze and awesome sights of Singapore. It was at the top of MBS (on level 56). You’ll get a 360 degrees view from there. Not just the coast, but also Gardens by the bay, the buildings around and all.",Date of stay:
Good customer service,"Roselyn was very professional and attentive during her shift. Cheers!
Definitely felt the price was worth it during my stay here at the gym.

She knew what exactly was needed or wanted. Thanks to her services, I definitely would come again. The rest of the facilities was amazing too, thanks for having us.",Date of stay:
Excellent infinity pool,"The pool is amazing and most rooms have some view. The hotel is kind of set like a Vegas hotel with many stores and restaurants inside the hotel. The rooms are of decent size and the breakfast in the top restaurant has great atmosphere. There are many things to do to keep yourself occupied along with it, many popular attractions are close by.",Date of stay:
Chris at the Gift Shop Practically saved us!,"Went to stay at MBS while I do medical check up, can absolutely say their service is amazing especially Chris at the gift shop, we were in need of a umbrella as it was raining heavily late at night and I guess the gift store was about to close but Chris from the Gift Shop, reopen the counter and even asked us if there is anything else we need! Superb hospitality even from the Gift Shop. Top Notch",Date of stay:
Bucket Luxury Hotel Experience,"We stayed in this iconic hotel for a bucket list night. We did all our Singapore touring before we had our 1-night stay so that we could enjoy the hotel amenities the WHOLE time without leaving the property. We spent a lot of time at the pool. It rained one afternoon, but we were the first ones back in the pool once it was cleared from the lightning storm. The Infinity pool gets high ratings. Wasn't too crowded and we were able to get the seating right next to the pool.
We enjoyed our balcony the most --recommend facing the Gardens. We were able to sit back, relax, and watch the Gardens by the Bay Light show.",Date of stay:
The hotel is perfect!,"The experience of staying for 3 days in this hotel is fantastic, because of the great and professional services from Eunice Marasigan , everything is perfect! My kids really have a great time playing in the swimming pool and having fun in different kinds of activities, the breakfast is great too! Will highly recommend to my friends!
I am looking forward to my next staying here now!",Date of stay:
One night only if you must!,"We will certainly never stay here again. First impressions stick and MBS made a lasting impact with our arrival. 5 rows deep of taxi chaos out the front of tower 1 was a prelude. Our luggage was whisked away (more about this later) and we entered without a greeting. Looking up in the lobby is a marvel but at ground level totally inhuman. Packed, nowhere to sit and oddly walled off from the long spectacular space with high wall of a food outlet.

Shockingly our next experience was a three row deep snaking queue to check in. Our wait was 50mins, standing. Trying to download and use their app to check in was fruitless as, on our phones, registration for an account didn’t work. Finally we got to our room (tower 3 a decent walk away) eager to head to the Gardens by the Bay nearby but another wait began for our luggage. We called about its whereabouts twice during our wait of 45mins and no one could tell us where is was or when we could expect it.

Dinner: I mistakenly assumed that staying here we would be able to get a table for a meal. Every table was booked so no such luck. Fortunately as the crowded but incredible rooftop pool was a reason we wanted to stay, we could get a basic meal in our swimmers.
Better communication before arriving could have helped on this point.

Our experience of the MBS was epically impersonal, way finding was non existent (prepare to get lost and confused!) and an antiquated lack of sustainability practices topped off the experience.",Date of stay:
Amazing!!,It is an amazing place. There is so much to do but you will need at least 2 days to see the area. The gardens are beautiful along with the mall and don’t forget the hotel that has the roof top bar and if you stay at the hotel you get to enjoy the infinity pool overlooking the beautiful city.,Date of stay:
Professional service,"Visited the hotel for some drinks and what I really wanted to say most was the wonderful service provided by the staff. Saraswathy, Sazali, Maadesh and Nicholas were all so helpful and friendly, very very professional individuals. DJ at the front drive was also so helpful in trying to help me figure out how to use the grab app to book a ride home when my bank was under scheduled maintenance and did not allowed me to top up my grab wallet. These team members are truly an asset to the company. Thank you all.",Date of stay:
Great hotel,Amazing hotel in an ideal location! Staff went above and beyond. Check in was welcoming and had our room ready early for us which was very welcome after a long flight. Our room was on the 51st floor with a view of the gardens. Housekeeping staff were excellent! Nothing was too much trouble. We had breakfast there and the choice was endless.,Date of stay:
Always a perfect experience!,"Always an amazing experience. Everyone is super professional and kind. The room is clean and the bathroom very luxurious. But the best are the massage beds. They are very wide and comfortable.

Nelly and Sand are the best!!! They always make us feel stronger and more flexible after every session.",Date of stay:
Sublime Service 6 Stars ⭐️⭐️⭐️⭐️⭐️⭐️,"The experience was amazing and the service top notch luxury. We all felt very special and cared for. 6 stars for sublime service…
our home away from home 🙏🫶 we are visiting again for a conference and holiday. Thank you Marina Bay Staff your attention to detail is fabulous.",Date of stay:
A dream come true!,"I left my heart at Marina Bay Sands! Worth the splurge to swim in the infinity pool overlooking Singapore in their most iconic landmark. Every thing about it was fabulous! I enjoyed the Taylor Swift light show, access to Gardens by the Bay. Loved it!!",Date of stay:
So bad.... only stay if you deserve punishment,"If I ever have burning desire to:

• Pay for a highfloor harbour-view and receive a lower floor garden-view
• Listen to jackhammers and other refurbishment/construction noises ongoing from 09:00 onwards during my entire stay
• stay in an overrated room which has damages, shoddy completed repairs, and no toilet roll (I have pictures)
• stay in a dirty room with dust everywhere and rust stains on the lamps (I have pictures)
• miss out on Internet, TV and Telephone for more than half a day (unannounced and no updates)
• reregister my keycard again because the elevator no longer accepts my original keycard
• have breakfast at 6:30 because that’s what the advice is and when it is the only time it is not crazy busy
• stand in line for every possible restaurant or feature
• especially just ridiculously overpay for the experience

Only then will I return to the MBS.

I believe that hotel restaurants should cater for guests first and then for 3rd parties. To not be able to reserve a table for the next 2 days as a hotel resident is just absurd.

I was promised unparalleled luxury matched by exceptional service and I got neither – I have travelled extensively in the world including to sunny Nigeria and other parts of Africa and this hotel for me was the biggest disappointment of all - I would rate the premises akin to a single star rating at very best.

I did not enjoy every minute; in fact I did not even enjoy one single minute of my stay and ohh by the way…. it cost me a small fortune.

This review was sent to MBS for comment but they decided to stay silent.",Date of stay:
Perfection! Superb service and a million dollar location and view of Singapore,"We started our vacation in Singapore by staying here for 5 nights, and enjoyed every minute of it. Yes, it is a large resort and very busy, but that is part of the glamour and excitement. Our room was in Tower 3 on the 33rd floor overlooking the gardens. We found the room to be very clean, spacious with modern amenities. A ginormous flat screen TV. The resort provided bottled water plus complimentary beverages in the small refrigerator. Nice robes and slippers for our comfort and use during our stay. Also gave us a big platter of fresh fruits upon arrival and mid stay.

The view overlooking the garden was a bonus, as we enjoyed the light shows in the evening right from our room. Facing the gardens also gave us sweeping view to the sea. Part of our reasons for staying here is to use the stunning rooftop infinity pools on the 57th floor. Nothing short of perfection. The pool staff is elite, the food and beverages were superb, and we used the pool during the day as well as at sunset to maximize the amazing views. To see the bright moon light up the sky filled with beautiful city lights was so special.

The location of the resort is also great. Just a walkway to the Gardens By the Bay, as well as to endless restaurants and shops. Even a food court/center, filled with many great eats (in AC!). The MRT is also located nearby. We also used the gym a few times, although with quite a walk from our room. We walked the pedestrian Helix bridge to reach the Singapore Flyer, as well did the short way over to Lau Pa Sat hawker food center. We felt the city is very walkable, even went to the Merilion statue via the route around the waterfront.

As for the resort staff, it is clear that they have extensive service training. Special thanks to the front desk staff for smooth check-in and check-out process. We especially enjoyed talking to Din and Adele at the Concierge desk, they were delightful and so helpful with our questions.

With the highest rating of 5 stars, we really wanted to give the Marina Bay Sands 10! Bravo!",Date of stay:
Magicql Sound Healing with Kanu,"The sound healing with Karu was one of the most magical, heart opening experiences I have ever had…
I was in awe, the perfect balance of peace, tranquility, beauty with sounds that literally moved the body….
They say when the student is ready, the teacher will appear…. But in this case, i think the experience helped me to arrive in a place of openness - my heart is full of compassion.",Date of stay:
I Love This Hotel,"I was in Singapore and knew I had to stay here, I booked a room for us on a Sunday night and was so happy I made the effort to do so, I was in 2 minds whether to book, its an American Vegas style hotel in Asia but it was so worth it you get the fantastic service and hospitality of Singapore but the fun aspect of an American Vegas style hotel. Our check in was seamless Patrick was lovely Peach very helpful and May upgraded us, so we were super happy. Our room was on the 39 floor overlooking the gardens, so nice for the show in the evening (although I would recommend actually being in the gardens for it to get a better experience,if your not there for the show do have a walk around its lovely, the animal sculptures of endangered species is very moving) You walk into your room and the curtains open, a nice touch with a great view. The decor was lovely with some very nice design touches, beds were amazing, bathroom super luxe and toiletries were Jo Malone also being upgraded you get a much nicer robe which becomes obvious when you are at the pool! The pool... so worth it! there is an adults section which is great however being a Sunday there wasn't too many children about, the beds get busy but there is a constant turn around 1 thing we didn't realise there is sun screen provided near the area you do the pool check in. As only hotel guests can use the roof top infinity pool it makes you feel special! the pool is 1 of the reasons to stay at the hotel and it really was a fantastic view and yes I got lots of pictures of me at the edge like in the advert for the hotel! We ate at the pool so food was from Spago a Californian restaurant with a very nice menu, while I was staying elsewhere I came to MBS and ate at CUT by Wolfgang Puck which I highly recommend the chicken is enormous it arrived as a full bird 1.1 kg they took it away and carved it for me. While staying at MBS we ate at the new French restaurant DB Bistro which we didn't enjoy so much maybe it was not to our taste? We visited the casino, free to tourists but $150 for locals! you must have your passport and Singapore landing card to enter. No quite as much fun as a Vegas casino the games are a little different and the gambling seemed more intense, but we had to give it a go and it was a nice finish to our evening. I read a lot about this hotel and on my visit to eat there before my stay there I was a little shocked how busy it was and felt it was almost a little too touristy, but that aside the architecture is totally amazing, the staff superb, if you love to shop the mall is great every shop you could possible wish for if you like high end, the evening light and water shows are a nice touch and I must say my whole experience was 10/10 we loved it, would I return now that I have done the pool and casino YES I would.",Date of stay:
Average,"Although the hotel is spectacular to look at, it’s very average to stay in. The room we stayed in was very tired with stained carpet and stained robes. The pool is beautiful but not easy to swim in as not surprisingly is used as personal photo shoot for the guests. Guests appear to be lazy with leaving towels on beds so you never know which beds are free. The staff are lovely and helpful. We are glad we stayed here for the experience but if we return to Singapore, we will probably stay elsewhere",Date of stay:
Another Exceptional stay,"My daughter and I have just returned from an exceptional stay in a city view suite. WOW WOW WOW what a suite, unbelievable and what wonderful services. We had an amazing stay, love everything from the room, the services, the rooftop pool,, the afternoon teas, the food, the shops, the helpfulness of all the staff (except for 1 rude old man working on level 56! Thank you to everyone who made our stay so special",Date of stay:
Crazy Rich Singapore Vacation,Sooo I’ve seen Crazy Rich Asians numerous times and wanted to see the Marina Bay Sands in person. It is spectacular and overwhelming all at the same time. The rooms floor to ceiling windows with the Amazing view and the luxurious toiletries are and plus. The bed is comfortable but it’s really just a blip on the radar. Now for the Rooftop Pool yes it was Everything I’d hoped for. Now the staff throughout are Amazing we went to the front desk looking for a ATM and one of the Lobby Ambassadors escorted us all the way to where the ATM was located near the casino. I’d like to give a special thank you to Lobby Ambassador Mr. Patrick and Bell Captain Mr. Suresh Rao you both were very kind and beyond helpful during our stay,Date of stay:
A great experience,"This hotel is really massive. However the rooms are very nice, we had a great view over the gardens by the bay with the super trees. Our room was spacious and provided a great place to relax.
Breakfast can get a bit busy, so to avoid queueing up I would suggest arriving for breakfast at around 8:0am. There is plenty of selection at breakfast and the staf are efficient.
The hotel is connected to the MRT, Shopping mall and casino so its very easy to get around. The super tree grove, Floral fantasy, Cloud forest and flower dome are all within walking diatance.
The infinity pool at the rooftop is great for one of those photo opportunities, as is the observation deck. Both are free for guests. The pool is for guests only, whilst the observation deck is chargeable for non guests.
This hotel does not come cheap! But its location is perfect.
Staff are helpful. Our thanks to Balan and Ray for their help.",Date of stay:
Memorable stay for the family,"A very short trip, but an experience my daughter will not forget. The family room was amazing. Spacious and lovely furnishing. Our daughter loved her little retreat with the game console and amenities.

For the parents it was just perfect for the short stay. Very comfortable.

Would like to take the time to thank Eunice from Premium services. She was very friendly and always helpful. ""Thanks Eunice""",Date of stay:
Best gym of our trip,"Comprehensive amenities in a modern environment with a nice view overlooking the convention center. Good mix of cardio equipment and weigh training as well as coffee, tea, other drinks and snacks. The attendant Lucy took excellent care of us and treated us to cooled towels at the end of our workout.",Date of stay:
The best hotel in Singapore,"Marina Bay Sands is hands down my favorite hotel in all of Singapore. I stayed in the newly renovated rooms in tower 2 and had a beautiful view of the Gardens by the Bay. The mall attached is breathtaking and the hotel offers so many restaurants you can’t go wrong with any of them. Lavo was amazing for a rooftop experience (highly recommend the meatball!) , Wakudu had the freshest fish if you’re looking for high end Japanese cuisine, and you can’t go wrong with room service.

Every part of the hotel is a work of art. Almost every part is a picturesque moment! The rooftop pool is breathtaking and is the best view in Singapore. Also, Marquee is the coolest club you’ll ever go to. A Ferris wheel and slide attached that you can’t miss.

Most of all, the employees and premium services were extremely catering, helpful and fast. Shoutout to Eunice from Premium Guest Services for going above and beyond each day of my stay. She gave me all the best recommendations and she was swift with all my responses. She also assisted me with all my rides to and from the hotel with ease.

This hotel has it all! If you’re just visiting, I highly recommend staying for at least 2 nights to explore all MBS has to offer!

-T",Date of stay:
Utter bliss,"Oh wow. What an amazing stay. We requested two standard rooms overlooking the gardens on the same floor. On arrival one of the rooms was not ready so they upgraded us to a two bedroom suite with a city view. It has spoilt us for ever. Two nights of bliss. Treated like VIP’s and could not fault anything. The attention to detail was amazing and the quality of the furnishings, bed linen, toiletries were just beautiful. Even the toilet was awesome. We didn’t want to leave. The pool was fabulous but the suite just made our stay. Thank you Kath and MBS for an unforgettable experience!",Date of stay:
not sure i would go back,"we went last summer. it is architecturally very impressive, but the hotel is so big that the service does not feel very personal. we arrived early and asked if we could check in early but this did not seem possible. the hotel lobby has no comfortable seating areas so we asked if we could find somewhere comfortable to sit, but this did not seem possible. as the hotel is such a landmark, the lobby is full of tourists and visitors, so as a resident you never feel the quality of the service. the restaurants, shopping mall, infinity poor and viewing deck are all amazing but you just do not get the personalised service a 5 star hotel should give you.",Date of stay:
The most incredible hotel,"One of the best hotels in the World that I have stayed in and I have stayed in many luxury hotels due to my job. From the minute we arrived we were met at the door and escorted to our rooms where check in took place which was seamless and so efficient. The rooms are out of this world and spotless and the attention to detail was fantastic. Breakfast is superb! The staff are incredible from the pool staff to the restaurants staff but the best service we had was we had booked a departure transfer to the airport which was late arriving due to a mix up but was handled very well. When we arrived at the airport there were 2 staff members from the hotel waiting for us to assist us to the tax refund and check in- I have never had such service in my 45 years in the industry all I can say if you can stay at this hotel it is a once in a lifetime experience.

Thank you for making our trip memorable!",Date of stay:
Beautiful Break,"We had the best trip at Marina Bay Sands during our five day stop over
Beautiful grounds, rooms, staff and food. NOT TO MENTION THE VIEWS!
Guna our poolside attendent was attentive, friendly and a joy to be around.
Will be here again if not only for him
Thank you!",Date of stay:
Fantastic,"Fantastic area in Singapore. Really nice to visit any time of the day and walkaround. Lots of nice spots to take pictures and relax. Close to the merlion. The area can get very busy, but crowds should be expected and move along quickly for photo opportunities.",Date of stay:
World-class gym personnel,"No steam room, hot pool, and sauna anymore. The gym location is too far anymore. However, on the good side, the staff at the Fitness Center are very helpful, especially Oddie and Roselyn. They toured me inside the gym and showed me how to use some of the equipment that I saw for the first time",Date of stay:
"The staffs and city view are great, but no worth for the money.","You paid $1300 au for a night room looks like this, back to 90s. When you make booking, no one tell you they doing renovation. Untill you check in the staffs told you. And the noise, OMG, I can't recall a room video, it is so lound. Yes, The second day it quiet down, Becasue Taylor Swift check in!
Look at the pictures, would your pay $1300au for this? I am sure other hotel has god view and better room thank this.",Date of stay:
"The whole experience was wonderful. Up to the service, the view, massage and treatments.",Nice ambiance and it’s very relaxing. Crystal was polite and gentle. I had a very good experience. The tea was perfect too. I love how they gave us options to choose and asked about our experience too. Everything is wonderful and I would love to come again. Thank you for the great service,Date of stay:
We had a short staycay from work,"The hotel has the best service and everyone is so respectful. The spa was so relaxing and welcoming. Everyone has been so welcoming towards us. I would recommend it to everyone, best experience ever . Good service and good customer service.",Date of stay:
Banyan Tree Spa — A master of their Craft,"One of the best spa we’ve ever had. Went for the whole treatment — royal harmony, a complete set of everything. The therapists were well-versed and extremely experienced in their craft, and made the whole experience 100 times better. Would definitely keep coming back here (even though I have been for the past 5 times :D)",Date of stay:
Excellent stay,"Excellent service, amazing pool and good restaurants on the top floor. Easy excess to shopping mall and gardens by the bay. Grand hotel and it is once in a life time experience. Best hotel in Singapore. I would highly recommend this hotel. Ramesh from front office was very helpful.",Date of stay:
MBS Exemplified Service!,"Hi MBSPremiumServices Team,

We're heartened by your exemplified , great service that warmth each and everyone of us who came on 28/2/24.

Your extra mile to create an excellent environment and service has indeed impressed all of our guest as the newly wed couples we felt so honoured and privileged to stay in your hotel.

We have indeed had a memorable experience in Marina Baysand. On behalf of our family members we wish to extend our gratitude to each and everyone of you that have involved in giving the best service during our stay in the hotel from 28/2 & 29/2/24.

We shall highly recommend other friends to stay and host their wedding banquet at your hotel too...

Cheers & keep it up.. 😃

Thanks & Regards
Mr & Mrs Danny Ng & Madeline",Date of stay:
