Review Title,Review Text,Date of Stay,Author Contribution,Rating
A good experience,"The infinity pool offered a great relaxation experience and Moe the lifeguard went an extra mile to make our visit extra special by offering advice, and also helping us take breath-taking views of the skyline. Thank you for the wonderful time.",February 2022,6,5.0
Compliment front desk staff from MBS hotel vip counter,Thank you so much to front desk officer Ethan from VIP hotel check in one. MBS. Indeed professional and fast. Thanks for recommending variety foods at Rasapura food court. Yummy and reasonable. Have a good day. I am looking forwards to use the facilities and the infinity pool .,February 2022,8,5.0
MBS,We had the most wonderful experience at Marina Bay Sands. Look out for Moe on the rooftop Infinity Pool. He will make your experience even more memorable. Capturing amazing photos of the guests and full service.  He really went out of his way providing exceptional guest service.,February 2022,1,5.0
Customer Service,"Mr Moe is awesome, great customer service, knowledgeable, great personality. He has made our short time at the Infinity Pool an amazing experience.He goes the extra mile at every stage.Thank you so much Mr Moe.",January 2022,2,5.0
Amazing service!!,The whole stay was so much fun and amazing value for the stay! Big shout out to Samitra on the check in desk for helping us! And to Kelvin the lifeguard at the pool for the best photos and being so helpful!,January 2022,1,5.0
Infinity pool - MBS,"Had the wonderful lifeguards Kelvin and Ryan assist me and made me feel very welcome at MBS. Such friendly, helpful and wonderful staff who work here. MBS should be very proud. If you ever have the pleasure to stay here, keep an eye out for these two wonderful people.",January 2022,3,5.0
Great Accomodation! ♥️,"My best friend and I really had so much fun here! It is our first time to have this kind of ⭐️⭐️⭐️⭐️⭐️ hotel staycation and the price is incredibly worth it!!! From the check-in to personalised wide screen greeting, to room service, to infinity pool accomodation, to express service! It really wowed us!!! All the staff were super duper amazing! We feel like we’re queens 👸🏻 👸🏻Thank you so soooooo much for the ⭐️⭐️⭐️⭐️⭐️ service, MBS! P.S. if we can give the MBS more than ⭐️⭐️⭐️⭐️⭐️, we will! Like thousands ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️😍",January 2022,1,5.0
Great stay with the family,"The stay was a birthday gift from the missus. It went smoothly from checkin to checkout. All the staff were great but a special mention to Moe at the pool. He takes a good photograph and knows the best spots. If you go, get him to take some pics with your phone and then go and enjoy the view. 10/10",January 2022,2,5.0
Excellent service by Infinity pool life guard at Marina Bay Sands.,Never expected a life guard to be so helpful. MOE was helpful to offer help to me and my friend take photos. My friend and I had a wonderful day full of joy. Thank you Marina Bay Sands to have a good staff.,January 2022,1,5.0
Horrible hospitality and customer service,"I tried to book a hotel reservation with the company and they refuse to send me a confirmation. I need this reservation for my travel visa to Singapore with friends and family, but I've been waiting DAYS for their confirmation and because of it, missed my chance to apply for VISA.For the families that did go, they canceled their booking with marina Bay sands after their horrendous customer service. The front desk was incredibly rude when we needed help with check in.Priort to arrival, when we asked for a manager, he promptly ignored our inquiries about whether or not we need to:1. quarantine in the hotel until a negative test2. would send us a confirmation email for room reservationWhen my family went to the actual hotel to speak to a supervisor about this, they said it was out of their hands that they can't control their managers response times. What? What kind of customer service is this? Additionally, it took a long time for them to check us in. The situation was so horrible and I heavily don't recommend this place for future travellers.We promptly cancelled our reservation, without caring for a refund, and departed to another hotel that appreciated our service. Super disappointed and will be warning all of my peers from this place.",January 2022,1,1.0
Best hotel in Singapore and worth every penny!!,"Awesome hotel with the best views, location and service. It was amazing to watch the spectra light and water show from our room. We were on the 45th floor and the room was large with comfortable beds. The pool which is exclusive to hotel guests only is spectacular! Shopping galore and worth every penny. Definitely the best hotel in Singapore!",May 2022,4,5.0
Room Service,"This is purely about their room service. It took 5 mins for them to respond and they informed us that they had wait times of over an hour. This is ridiculous for a 5 star hotel that I am paying nearly SGD2000. Unheard of anywhere else in the world, but in Singapore, all they say is suck it. I am still here.",May 2022,16,1.0
Perfect destination for luxurious holidays,"We had stayed there specifically for the reason to access their trademark Infinity pool with a view of singapore skyline. And we were not disappointed. We were able to access the pool as many times as we want. The pool is opened from 6 Am to 11 Pm. The water is good, the service is perfect, they have people serving refreshments along the pool sides at no extra cost.The rooms are luxurious with perfect services for in room dining as well. Particularly Mr. Sean had taken care that my 3 year old baby is also served well. Brought some in house chocolates for her along with my beer tasting bucket. They extended our check out till 2 PM. Which was very convenient with 2 babies. Overall it was a perfect experience with quality service and with proper amenities and a pleasant experience for my family of 4.",April 2022,11,5.0
Great service by the room attendant,"The stay at MBS is wonderful as per usual. We managed to get the room immediately upon check in at 1pm, which was great. The room attendant - Gai Meng - provided great service. When my parents bumped into her outside the room, even though she had already cleaned our room, she greeted them and asked if we needed anything.",May 2022,1,4.0
GREAT STAYCATION EXPERIENCE AT MBS,"March 2022 Ramesh, approachable and professional. Attentive to customers. Approach me and noted im very early for the que.He then amended and gave me on the spot que number for me not to stand and wait for longSha - reception. Friendly and professional, granted request for higher floor and charge by debit/visaAya - friendly and listens well even though you can hear busy environment fro. Other guest checking inShe verified additional check in guest Yana, answered very professional and accommodating thru phone with regards if we can store our luggage upon check outLisa, professional customer service she provided during our stayWang Li, designated guest service agent, prepared room clean and organisedPara mesh friendly professionally assisted us during checkout of luggage and items until we get a grab carRoom:Great view of the gardens by the bay and sea.Big TV, adjustableComplimentary drinks and cake for special occasion providedBathroom: Big, with separate shower and toilet. Toilet has no bidetInfinity Pool:Easy, convenient online bookingLife guards visible in all areasJacuzzi filtered hourly as per staff.Will definitely come back and refer to family and friends",March 2022,115,5.0
One awesome morning at the Marina Bay Sands,"We stayed a night only at the Marina Bay Sands, and met Moe at the infinity pool. Though we weren’t there too long to make the most of the amazing experience, Moe made us comfortable for the short and unforgettable moment. Thanks a lot and we look forward to being there for a longer duration!",May 2022,14,4.0
Luxurious property,"We booked a Deluxe King Sky View Room on the 44th floor. It was a very spacious room with an amazing view. The team was nice enough to provide us with an early check-in. The service was pretty quick as our luggage had reached the room before us and the extra bed was placed within 5 minutes of that. The pool is obviously amazing at any point of time and they have amazing hot tubs as well. The drinks in the pool are not that costly. Sling or pina colada costs SGD 25-26 (inclusive of taxes). I would suggest anyone who is visiting Singapore to stay on this hotel for at least one night and enjoy the property, be it the room, pool, casino or mall.",May 2022,10,5.0
Living in Opulence!,"Stay: 4th May to 5th May 2022Booking: SelfReview:Value for Money: Booked the Deluxe Room (Garden View) directly through mail interaction with their reservation desk @ Sing Dollar (SGD) 1,046.35/- per night which is a luxury but totally worth it. We got bumped up the Deluxe Room King size (Garden view) Tower 2 which sweetened the deal. The room is on the 47th floor and had the Gardens viewService Quality: Awesome. Hotel staff is accommodating in every sense of the word. Smooth check-in and very comfortableFood & Drink: The hotel has lots of choices to choose from and the same can be browsed from the in-room TV menu. There is a rooftop restaurant Spago where one can enjoy their evening swims with food and drink. You may choose to have your meals at the bay areaLocation: Needs no introduction! Marquee hotel in SingaporeAmenities: Two words - INFINITY POOL!!! There is free WI-Fi.  There is the casino, Sands Expo and convention halls. The AC chills you quite comfortably. There is 24x7 hot water. Once again the pool with the view is a must visit. Also visit the Observatory deck which comes as part of the room packageSpecial mention: Did I mention it earlier...go dive into the pool! Superb connectivity via the MRT. Take a morning stroll around the bay area, click pics with the Merlion, go visit the Helix bridge",May 2022,97,5.0
Staycation at MBS,"There’s nothing bad to say anything about this hotel! Our experience there was awesome. Room was big n clean, comfy pillow. Service from the hotel staffs was awesome especially from Infinity Pool Mr Moe & team. Location is perfect too! The staff, Moe is very thoughtful and observant. He shared pics on his mobile on which best time and location to take on sunrise, sunset & A Light & Water show at night. He has helped us to take on our family photo. We felt so touched by his warm gesture. The staff give us complimentary beverages during swimming session in the evening on last Friday, May 6 with this pleasant thought. We will come back again.",May 2022,1,5.0
Infinity Pool is Amazing,"My wife and I stayed at the Marina Bay Sands Hotel for three nights in May of 2022. Would I recommend this resort to a friend? Yes. Would I stay their again knowing what I know now about the resort? Yes.We had a Deluxe King Sky View. It had great views of the city and skyline. The only reason we stayed at the hot was for access to the roof top infinity pool. It it wasn’t for the pool I would not stay at the hotel. It doesn’t feel like you are staying in a hotel. It feels like you are staying in a mall. The hotel is big and impersonal. The pool is great. Amazing views of the city. However, my wife and I were wanting to have a drink in the pool and watch the sun set. Sounds great doesn’t it. But the pool area does not have an adult only section or pool. This means that there are always screaming splashing kids around you. Don’t get me wrong, I raised two screaming splashing kids. However when you’re paying $1000/night for a room, an adult only section in the pool isn’t too much to ask for. Additionally, my wife loves to have a bath before bed and the deluxe rooms only have showers. WI-FI in the rooms was strong. Free waters and sodas in the room were a nice touch. Also the free ice cream at the pool. We signed up for the Sands reward club and got free breakfast at Spagos and a free happy hour one night. If you found my review helpful please let me know by giving me a Thumbs Up.",May 2022,"2,775",4.0
"Once in a lifetime of experience to be in the infinity pool, great service with personal note by Moe Lamit - thank you!","We stayed there 5 days and it is a great Hotel with excellent service. Room service took too long but can understand the lack of staff after Covid hit this sector so hard. The view is of course outstanding but we also got in touch with Mr Moe Lamit working at the infinity pool. He was so friendly, offered to make pictures of us and shared insider ideas abt Singapore. We even stayed in contact after our visit and this made the stay at MBS even more special. Thanks for the unforgettable stay",July 2022,1,5.0
Best pool in the world!,"We stayed for 3 nights at the beginning of our honeymoon. The view from the room was amazing - and even more breathtaking from the infinity pool! I recommend that you book your restaurants well in advance of your vacation. Sadly most of the restaurants at the hotel were fully booked for the duration of our stay, which didn’t leave many options for us. Room service took a very long time, which is understandable given the size of the hotel.  We appreciated the chocolates offered to us by the hotel, as a gift for our honeymoon. We were very impressed with the housekeeping staff who did an amazing job. The hotel is in walking distance of the Gardens on the Bay, which is a great activity for tourists. Definitely the place to stay in Singapore!",July 2022,25,4.0
Iconic,What a great place to celebrate my 50th...although not on the cheap side ..this hotel is a must as it will be an experience to always treasure With the most amazing pool.on the 57th floor A view second to none and memories that will be treasured forever,August 2022,115,5.0
Good,"The infinity pool on the roof of Marina Bay Sands makes it worth staying at this hotel with family. Icon of singaporean and must to coma here if come to singapore. Room is good, food is tasty, staff is friendly.",July 2022,13,5.0
A Singapore Classic,"The Marina Bay Sands is a great hotel but its beigeness is starting to look a little dated.  The views are outstanding and the location is very impressive.  Tonnes of overpriced designer stores, and a relatively close food court and other good eating options nearby, seemingly for the Mainland Chinese visitors, good access for MRT and Taxis are almost non stop. The rooms were large and very comfortable, we all loved the automatic curtains and the large bathrooms.The Gardens by the bay are a great experience with the shuttle if the idea of a walk in 28c doesn't appeal to you.  The nearby Art and Science museum was an unexpectedly fun trip and worth the visit if you have kids or a curious nature.Its so large its almost tiring to walk around and the lifts make it a bit complex to reach the pool, but its well worth it for the experience and the occasional free ice creams and drinks.  The gym needs a bit of updating, some of the equipment is getting a tiny bit tired.Its a fabulous structure in a fabulous location.  Everything works, albeit things like room service were unforgivably slow, $17 for a couple of slices of toast which takes 50 minutes to arrive is really not good enough.  The room service food selection overall is large but a bit basic, and could do with an overhaul.The Check-in process needs much less process.  They are far too keen to get you in a queue and it would be much faster to just provide faster simpler service.  An awful lot of looking and typing and looking and typing and confirming things in frankly pretty bad English is what I would expect from a regular 4 star.  Even check out was a long and unnecessarily drawn out affair compared to other Singapore hotels.  I think a robot check-in and out would be an attractive alternative option.All in all its a fabulous hotel that has a good 12 years of service and is undergoing a refurb at the moment and if they get it right it will be a great hotel for the next decade too.",July 2022,199,4.0
Great but….,"I’m staying at the hotel at the moment and I wanted to give my initial impressions.  The check-in process as well as booking to use the infinity pool are a bit quirky. Both require registration within 24 hours of arrival but the system was down when I tried and the backup mobile number also did not work. Slightly unusually, the reservations team does not seem to be as accessible as in other hotels (a bit slow). Prior to arrival, you are certainly left feeling that you have booked at a five-star hotel, but you are not being treated as an essential customer.Upon arrival, we had a short wait during our registered check-in period but once all the paperwork had been completed (took longer than checking in at other hotels) we were left to our room and started enjoying the premises.Wow. This is a one-of-a-kind property and the views from the room (we booked two deluxe sky view rooms) are amazing. This is definitely a hotel that you want to stay in at least once if you are visiting Singapore.  The children have really enjoyed the experience so far and we can see that the hotel is going to be an excellent base for exploring the various attractions.  We feel very safe (coming from Dubai) with the hygiene and Covid protocols here.  There is still a requirement to wear masks (like Dubai) indoors and it feels safe to us having that although I appreciate that it’s relaxed more in other parts of the world. We had our first breakfast at RISE this morning. The buffet was pretty good. However, as guests from the Middle East we did observe that there is a lack of understanding on our questions around halal food. Most five star restaurants at least understand the question and are able to reply with a yes or no. We have a booking today at the infinity pool so we are excited to check that out. Look out for my next post as we work through our stay here!",August 2022,9,3.0
Infinity Pool,"The infinity pool on the roof of Marina Bay Sands makes it worth staying at this hotel alone. Despite the jaw dropping skyline views and the delicious food an drink options, one thing that made this trip memorable was a life guard named Moe. Upon attempting to take poor angled selfies with the gorgeous views, Moe charismatically offered his services to snap some photos of my girlfriend and I while catching all the perfect angles. I highly recommend this hotel, pool, and saying hello to my good friend Moe.",August 2022,5,5.0
Faultless!,I felt really special the second I arrived. Nothing was too much trouble for any of the staff and I felt really welcomed. I was lucky enough to get my room upgraded and the view blew me away! The infinity pool is absolutely beautiful and the perfect place to unwind. Special mention to Fir who was one of the pool staff - I was travelling solo and he helped me out getting some amazing photos in the pool with that incredible view. Would stay again in a heartbeat.,July 2022,18,5.0
Moe is the best,"It’s our first visit to Singapore. Did a fine choice of choosing MBS for our vacation. All was good from checking-in, room service & all service staff. But Moe from Infinity Pool has set a very high standard of an Exclusive Service which make MBS stand out. His goal of having in mind ‘making us a RETURN GUESTS’ is an asset to MBS. His recommendation of the facilities the hotel got to offer, the In-house celebrity restaurant help us a lot of make to do during our stay and where to dine. Moe… you are the BEST!",July 2022,1,5.0
Thank you Mr. Moe,Mr. Moe is absolutely a beautiful person inside and out. He welcomed us with open arms at MBS. His passion with customer service is definitely unmatched. Mr. Moe took his time to run a whole photo shoot for a group of 10 people 😳 He was patient and also helpful with posing tips. Thank you Mr. Moe for making our experience at MBS amazing 😊❤️,July 2022,3,5.0
Overpriced View,"I am basing my review on equivalent hotels worldwide at the price of over $600 a night which what I paid per night.  Firstly I booked a City View and the room has an incredible view, we slept with the blinds open as it was so amazing.  We were on level 35.  The room is good, but not amazing for this price.  The room we had at the Hyatt was double the size for less money and the service was equally as good.You could only book the famous infinity pool for 1 hour a day that is it and the spaces are limited, so you may end up like many people with a timeslot that is not great.  The gym was the same, you have to book which was relatively simple, but we arrived after the Singapore NY festivities, so it was alot quieter.  For this price, I would expect a little more customer service like using the pool and gym a little more than once a day.  I couldn't even get a drink or a coffee at the pool and the pool water was freezing.  Even the staff agreed that the water is freezing.The check in process was long.  There were no queues, but it feels like they are doing background checks etc as it takes a long time to get a room key.  For example to get in and out of room at the elevator lobby, there is a guard that records your room number.  I even received a call while at dinner from the hotel asking me to approve another credit card deposit as they only took out $400 when I checked in.  I wasn't really sure why the man was calling me and interrupting my dinner when they had my credit card and I was going to pay.  So we checked into Tower 3, but when we were waiting in Tower 1 to go to dinner, there are these people dressed in red tops.  They are the hotel police that literally are looking for any excuse to call you out for sitting in the wrong place.  My mask slipped to the tip of my nose, not below my nose and I was told off.  Again for this price, I wouldn't stay here again as I had way better experiences at the other hotels that treat you like a VIP guest.We ended up going back to Orchard everyday anyway as it so much better than Marina Bay.  This is my second stay.  now I have experienced both sides of the hotel, I definitely won't stay again at these prices.  I only booked it to impress my girlfriend.",January 2022,319,3.0
Very Pathetic Customer Service,"I booked two rooms for 2 days for my family of 6 under the Sandsational Staycation package over the Christmas holidays. On the MBS website, it says that complimentary breakfast would be provided if you sign up as a Sands Reward Member. What I experienced was having to jump through multiple hoops and walking back and forth between Tower 1 and Tower 3 on multiple occasions to get the breakfast voucher.To the hotel's credit and our pleasant surprise, they allowed us to check in early at 9 a.m. and the process at Tower 3 reception was smooth. However, we were told to go to Tower 1 Sands Rewards counter to get our physical membership card. When I went there in the afternoon, there was a long queue at the counter. I was told that after getting the card, I needed to go to the machine to collect our breakfast vouchers. There was another queue for the single machine, but Mr Zack Chang told me I could go to the other machine at Tower 1. So I walked back but found the queue no better. I then returned to Tower 3 and queued again. However, after going through all the options in the machine, I could not see any vouchers. I then asked Mr Chang for help. He said it was not yet in the system and asked me to come back half an hour later. Long walk back to my room in Tower 3 and back to Tower 1 half an hour later. Still nothing in the machine. Mr Chang then offered to write out the vouchers for me manually, but only for 4 persons. I told him that we had an email from MBS that confirmed breakfast for 6. He said the rewards system is separate from the hotel system, so I would have to check with the restaurant. After some argument with him, he finally agreed to issue vouchers for 6.I also asked about breakfast for the following day and he said it would be in the machine by the next day. Guess what? The next day, the machine only had breakfast vouchers for 3 persons! Long walk again to Tower 1, queue again and this time it was Mr Wong Wei Siang. It was like a re-enactment of the movie Edge of Tomorrow starring Tom Cruise. He had no idea what happened the day before. I had to explain the whole story again. He scrolled through his computer for 20 minutes and still could not understand the problem. I then request that he wrote out the vouchers for me manually. By now, I was not surprised when he said the same thing: We were entitled to only 4 vouchers; the remaining 2 had to pay! If I had a problem I needed to take this up with the hotel and restaurant separately! I explained that 6 of us had eaten breakfast that morning and he could verify with the RISE restaurant After a heated discussion, he finally agreed to issue vouchers for 6. I had to go off by then for another event. So long walk back to Tower 3 and later in the day return to Tower 1 again to collect the vouchers. If the hotel had any sense of service, they would have offered to leave them in our room after putting us through all that hassle. It's obvious that there is little coordination between the Sands Reward team and the hotel side. The Reward team is there basically to support the casino and clearly sees serving the hotel customers as a burdensome chore, unless they are high-rollers. Even though we don't gamble, we had paid over $800 per room per night, and the level of service was truly appalling.I ran into another problem when I was checking out. I asked for two separate bills for the two rooms. I was told by the lady at the counter that it could not be done. Why not? The incredible answer was that at check-in they had taken one single deposit for both rooms using the one credit card! I patiently pointed out that I had intentionally made two separate bookings, because I wanted two bills. After I insisted, the lady made some phone calls, and then tried to dissuade me again. I stood my ground, and she finally cancelled the deposit and billed me separately for the two rooms. The good thing was I got lots of exercise from staying there but I doubt I will come back.",December 2021,24,2.0
First and last time here,So much for safe distancing when there is no proper waiting area and massive crowd waiting to checkin. Everyone just standing in crowds outside the shops. Massive waiting times to check in. We understand COVID-19 is leading to more checks and measures but to wait 1-2 hours for checkin is really unacceptable. Service level below average for the supposed top tier hotel. And more long queues for breakfast at the hotel. Management needs to look at themselves as to why there are long queues everywhere. Poor staffing planning. The poor staff are overworked and overwhelmed due to shortage of staff. Looks like the existing staff need to cover 3 persons work at the expense of 1. Social distancing measures are a joke. Having stayed at other hotels the intrusion of privacy and constant surveillance every time you go in and out of the room is ridiculous. Take a long hard look at yourself sands management cos no other hotels are doing what you’re doing and how disorganised everything is. Safe ambassadors are a joke and on a power trip with lack of basic courtesy,December 2021,17,2.0
