Review Title,Review Text,Date of Stay,Author Contribution,Rating
Spectacular experience beyond expectations!,"Amazing experience for the whole family. We booked one of the newly renovated Family suites, and I must say that we have never experienced such luxury. Not only the facilities was extraordinary but the hospitality and service from the MBSPremium Services was next level and beyond our expectations. Starting from pre arriving until checking out and after they just took care of us and helped if we needed anything. House keeping was nursing the room every time we left and freshened up everything. We will definitely come back another time!",February 2024,1,5.0
Fantastic experience!!,"We booked two nights at the Marina Sands to end our trip to Singapore.What can possibly be said about staying at such an iconic hotel.The experience alone is amazing and with so much to take in can be a bit overwhelming.( Definitely in a good way ).The roof terrace and pool are just amazing and the views are incredible.We had a fabulous room overlooking the gardens and watched the light show from our balcony.I was taken aback by the structure of this hotel but what impressed me more was the way the staff seemed to run everything so efficiently,from the breakfast on the ground floor which was fine with plenty of choice available,to the bar service by the pool.The check in was straightforward and when we checked out,we were given our pool access cards back which enabled us to enjoy the rest of the day relaxing before our 12:30 am flight home.I must mention the lovely Ivy and Sara whose patience with me at the check in and checkout desks was impeccable.Also Shasi who brought our luggage and told me all about the hotel.A real nice guy.All in all an experience that will be impossible to forget.Iain and Carol Patterson.Newcastle Upon Tyne.",February 2024,10,5.0
A tired accommodation,"Bedding lacked fluffyness, and the hall smelled stale. Breakfast wasn’t good eitherThe room nearby has been under construction for six hours. without prior notice. The noise prevented me from resting comfortably.Despite this noise, the room was not replaced.I heard a hammering from 8:50 a.m. the next day.침구는 푹신함이 부족했고, 홀에서는 퀴퀴한 냄새가 났습니다. 아침식사도 좋지 않았습니다근처 방은 사전 통보 없이 6시간째 공사 중입니다. 소음 때문에 편하게 쉴 수가 없었습니다.이 소음에도 불구하고 방은 교체되지 않았습니다.다음날 오전 8시 50분부터 망치질하는 소리가 들렸습니다.",February 2024,2,1.0
Amazing experience,"The hotel is a marvel and worth the visit if in Singapore, premium suite was stunning, and the staff extremely welcoming and professional. Infinity pool was crowded during the day, however, definitely worth the visit at night time to see the spectacular Singapore skyline.",February 2024,1,5.0
The Marina Bay Sands hotel is perfection at its finest,"We originally booked two king suites for our family of six. We were surprisingly up graded, free of charge to the presidential suite! The staff were absolutely amazing, the bedrooms were stunning, both with breath taking taking views, the suite was immaculately clean and modern.The complimentary breakfast, canopies and drinks, butler and limousine were the icing on the cake to our 2.5 week holiday of south East Asia as well as the amazing ininfinity pool. Thank you Katherine and to all the staff at Marina Bay Sands who go above and beyond to cater to your needs. The customer service is absolutely amazing. We will forever have fond memories of the immaculate Marina Bay Sands hotel and beautiful Singapore that we will treasure dearly forever.",February 2024,2,5.0
Opulent!,A spacious room with a wonderful view of the gardens by the bay. Staff were very helpful and efficient at check in. Balcony was beautiful and much larger than most hotels. Pool and observation deck are very much worth a visit. The hotel is opulent and worth the money for a good nights sleep:),February 2024,125,5.0
best friends in singapore,"When I checked in, I told them that I only speak Japanese, and they called for a Japanese staff member, who was very helpful. He consulted me not only about Marina Bay Sands but also about Singapore and various other matters. Our staff are humble, kind, bright, and have wonderful humanity. I felt like I had made the most reliable friend in Singapore. We also appreciate the information staff who entertained us with simple English during the waiting time. I am honored to have met a gentleman with a wonderful smile. There were so many other great staff members that I would love to be friends with. I would like to visit them again.チェックイン時、日本語しか話せない旨を伝えると日本人スタッフを呼んでくれてとても助かりました。彼はマリーナベイサンズのことだけでなくシンガポールのことや様々な相談にも乗ってくれて嬉しかったです。謙虚で優しくて明るくて素晴らしい人間性を持っているスタッフです。シンガポールで一番信用できる友人ができた気分でした。待ち時間に簡単な英語で私たちを楽しませてくれた案内スタッフにも感謝しています。笑顔が素敵な紳士に出会えて光栄です。他にも友人になりたいと思える最高のスタッフが何人もいました。また彼らに会いに行きたいと思います。",February 2024,3,5.0
Marina Bay Sands,"Singapore. Does it  again .Singapore Airlines is class too.This is another symbol of well said Luxury .Classy in her  own way. The bath ,toilet and toiletries  special credit. I’m just mentioning about rooms only -standard rooms.This Is Singapore style.The infinity pool excellence.My photos shall tell the rest",March 2024,658,5.0
Exceptional spa at Banyan Tree Spa MBS,Excellent service from Hany and therapist Lisa at Banyan Tree Spa. Recharged after a 90 minute spa and be greeted by picturesque view of the city's skyline and waters after the session! A peaceful environment with top-notch service that makes your day.,March 2024,1,5.0
Terrible Experience at Hefty Cost,"Post on behalf of husband butnI was one of the occupants. Subject: EXTREMELY DISAPPOINTING EXPERIENCE Although I know MBS will still fully book no matter how bad their services are, no matter how many complaints they receive, but I still wanna share the bad experiences during my stay on the 8 mar.1st Booked 7 rooms, sent email to request check in together for all rooms, reservation team replied ok, but during check in, front desk was unfriendly and said cannot check in together because I was not there and my wife checked in for me. My wife requested high floor and only given 7th floor, and she requested to check in together so that my guests will not get low floor, but front desk person said will try their best, so wife requested the lady to prepare all keys and I only need to retrieve when I reached with guests. The front desk lady said ok but when I reached with guests, front desk took 1 HOUR to give me key cards!!! Really really bad!! All the promises were all lies!! My guests are extremely disappointed all due to MBS EMPTY PROMISE AND inflexibility and rigid staff. Despite me paying so much but not getting the right treatment is just basically horrible. 2nd, we got 7th floor room and there was strong sewage smell, wife told the housekeeping but She gave only diffuser and explained cannot do much because smell from drain. The housekeeping lady was nice but she couldn't do much and Wife needed to go off and front desk packed so couldnt request for room change. Ended up we believed the sewage smell or diffuseR cause my son's nose to be sensitive and did not feel well after spending the night there. Really really bad!!! Spent 10k yet stayed in sewage smell room, emailed MBS ask for compensation and yet MBS person said no compensation. Of course la, they wont bother small business from me, they no need do any nice thing hotel also full, so why would they bother about my complaint right! They called me to say sorry but useless la... The sewage smell was obviously full of bacteria.3rd, the worst part ---we went for breakfast at Spago and my wife almost ingested a part of chipped handglove is really atrocious and disgusting. I seriously thinking of cirluating the photo around but my wife's stopping me from doing so. I was not there with wife, because I was busy, if I were there, should really post the disgusting glove in porridge. They took the glove rather quickly though. So they waived off the breakfast but I think that was only fair because we didnt even eat anything after that disgusting glove! I WANT TO HIGLIGHT THIS, how can a hotel claiming to be a 5 star hotel making such unacceptable nonsense mistake? Totally atrocious. I paid a lot of money for the smelly room with unhygienic retaurant.Sent few emails but no reply until say will.pst FB, so called to say sorry, which really useless. Compensation should be given but like i said, their business good so they cant be bothered. I am extremely angry, disappointed and unhappy with my stay at MBS, share with you all la to make this known or I feel sibei imbalance. 10K le!! Yet worth less than 1k for sure!",March 2024,3,1.0
Nice Room - mediocre service,"Booked a gardens view room but got offered a city view suite in Paiza wing at no extra cost.  Overbooked?.  Very luxy suite with electronic everything, including toilet!.  Lots happening city side and it turned out a good decision to swap views.  Hotel is vast with a 20 minute walk min to most restaurants in the Shoppes mall. Gardens by bay light show is underwhelming and can be viewed from observation deck anyway.  Very impersonal mega hotel - mediocre to poor service.",March 2024,4,3.0
Marina Bay world class,Amazing hotel and loved the facilities. Being someone that enjoys the gym I was so pleased with Chanuk and Oddie who served me and provided great tour of the gym and was blown away. They are a credit to the hotel.Must visit hotel and experience,March 2024,1,5.0
An amazing experience at the Marina Bay Sands,The team at Marina Bay Sands really created a phenomenal experience earlier this month when we stayed there for our Taylor Swift concert trip. The amazing Butler team made the whole trip so seamless for all of us. Thank you Danial and Brady. Of course there are few others we don’t know all the names. It was an amazing experience of the lifetime that my goddaughters would never forget. THANK YOU for your hospitality. You are really impressive!,March 2024,8,5.0
Nice touch.,"While the initial check in experience was not as expected, Nicole from management called and went above and beyond to offer solutions. Nice touch Nicole, This hotel is well located and is very well maintained. Friendly staff are within reach and are very attentive.",March 2024,2,5.0
Amazing experience at MBS with superb hospitality and services,"I booked the Sands Premiere Suite to celebrate my anniversary with my fiancé. We received amazing services from The Premium Services, a major shoutout to Eunice for her amazing hospitality and making our Anniversary celebration an especially memorable one. Its definitely one of our best staycays; the room looks even better than the photos, the bath tub was so big, and the amenties were well maintained. The hospitality and services provided by all the service staff were top notched and highly professional. We highly recommend it for any celebrations :)",March 2024,1,5.0
Incredibile,"Nina is amazing as all the team, I loved her hands and the facial massage . The spa is a beautiful location at mbs and the final treats are amazing. Please go if you have the chance, this is quite expensive but it worth, great experience with my friends",March 2024,2,5.0
No one will care about your requests at this hotel.,"1st night so far and extremely disappointed.Checked in after midnight. Paid full rate and upgraded to a premium room at over $1000 per night.Notified hotel about our super late checkin days in advance and requested a room on higher level and close to Elevator.After waiting 35 minutes to be checked in, we were given the lowest level and as a result due to lower level , long walk away from the elevator.Much worse than not caring about our requests was the interaction with front desk,1st manager did noting and her manager came out repeating exactly what the 1st person was sayings: simply ""sorry thats all we have ""If you care about customer experience, this place is NOT IT.5 STAR HOTEL acting as a 2 star hotel when it comes to customer service.Will see how the remaing 2 nights go and will post an update.",February 2024,12,1.0
More than appreciation,"Excellent in all areas. Especially the air quality is very good, great ventilation. Room accommodations and amenities are perfect. Services and support also called as perfection. I can't complain anything. Just wanna give tons of likes to this hotel and theirs staff.",February 2024,3,5.0
What an experience,"Wow. Firstly, as a quick “down side”, be warned that there are a lot of people in the foyer. But even though there are lots of people, the customer service team have a knack for seeking you out amongst the crowd to see if you need anything. How they manage to know who is who is beyond me. Room is impressive. But the real highlight is of course the infinity pool and deck. It’s magnificent and the service that comes with it is what makes it so iconic. Thank you to Christy who treated my 5 year old son like he was royalty. Despite the price, the deck is considerably child friendly (I thought it wouldn’t be). There is a separate adults only section to prevent annoying relaxed adults. Food and beverage was fantastic but be prepared, it’s pricey I found the cafe downstairs (Bloom) decently priced for a coffee and croissant. All in all, an iconic experience worth doing once in your lifetime.",February 2024,12,5.0
Great service but too many people for us,"We stayed here for 4 nights in Tower 3 on the 20th floor. It is a bucket list place to see and stay and like others have commented the staff is great!! So friendly and will go out of their way to assist. Ziu from the bell desk gets a 10 plus. He assisted us with our luggage when we were checking. The pool is great but the first time we went in the afternoon there were no lounge chairs anywhere near the pool. Reminds me of the situation on a cruise ship. Sky deck is on floor 56. They do not make it convenient at all for people staying at the hotel to get back to their rooms. Had to go to first floor and go back inside to get to our tower elevator. Then there is the crowds. If you are not a fan of lots of people, might want to re-think staying here. Restaurant prices are quite high and very little selection for a reasonably priced breakfast. The Origin+Bloom was close to affordable for a coffee and croissant. We had a great view to see the light show at 745pm at Gardens by the Bay.",February 2024,54,4.0
"Consistently great experience at The Banyan Tree Spa, MBS","I have always enjoyed my monthly trips to Banyan Tree Spa at Marina Bay Sands.What makes my trips worthwhile is the Master Therapist Experience which is one of their signature treatment. Sand was the assigned therapist for my last two sessions and her techniques are therapeutic.  Without fail she would unknot the tight spots troubling my shoulders and lower back and I would leave the spa feeling reinvigorated.Also commendable is the professional and friend disposition of the front desk receptionist, Ernita.  She is conscientious and takes pains to ensure that both check-in and check-out processes are seamless and efficient.  This includes follow up email confirmations on next appointments.",February 2024,1,5.0
FITNESS CENTER OF MARINA BAY SAND HOTEL IS AWESOME!,I really like The Fitness Center in Marina Bay Sand Hotel. Because all equipment is so Complete! The Amenities also are perfect! And also i Love the service and hospitality of Lucy & Rosalind. Don’t Forget to Join the Classes on Observation Deck and enjoying sunrise while exercising! i did HIIT class - It s so recommended!,February 2024,7,5.0
Banyan tree,"Great relaxing experience. Good clean shower facilities. Lisa is a very experienced professional therapist, and Ernita is always so cheerful and friendly at the door  while being attentive to our needs. Ends off with a healthy snack. Highly recommended for weary bones or even just a revitalising weekend getaway.",February 2024,2,5.0
WORTH THE AMAZING EXPERIENCE,"Spent 2 nights here a a little reward for both of us after a hard 4 months. It’s not cheap but wow, it’s an amazing place. From arrival by van to a chaotic entrance, we both wondered what check in would be like. Not a worry, the whole register and check in was so fast and easy, we were both impressed. It didn’t stop there. Room not ready so given 2 cards to the Skyroof Infinity Pool. The surprises continue. It’s a massive pool spanning across the 3 towers and on the 57th floor. Plenty of chairs, lots of room in the pool and really prompt service for food and drink. A special mention for Mark who looked after us each day. The views of Singapore from the pool deck are breathtaking. One side is the City and the other side is the Harbor which resembles a full car park of ships waiting to load or unload. Received a phone call to advise our room was ready. Rooms are very well appointed as you would expect for the price. Only issue was the provided pillows were like bricks. A quick call to housekeeping and that was resolved quickly. Check out was even faster, an express reader that swallows your  room cards and emails a settled account. The only suggestion we could make is there is absolute nowhere to sit in the building. Everything is expensive but as a treat very much worth the experience.",February 2024,247,5.0
Great experience at MBS gym,"The gym staff were attentive and address my questions. The drinks counter was well stocked after a gym workout to cool down. Not to mention that Chanok, Uma, Affa and Anant were welcoming and made my stay comfortable and memorable. The gym was located away from the hotel, a considerable walk from the rooms. Would love to have the gym back at level 55 again.",February 2024,1,4.0
Vers expérience in Singapore,"Nice view for doing sport, Nice mood, Nice feeling with a very good team. It’s a Little intense but it worth it !!!!!!!!!!We are French peuple and We discover it on Instagram. We recommand it to all the personeven if you don’t doing a lot of sport",February 2024,1,5.0
Beautiful rooftop pool,"We went to Singapore specifically to enjoy this hotel and it did not disappoint. The hotel is beautiful both inside and out. Staff were friendly and efficient. Housekeeping were in and out checking everything and missing nothing. We stayed in a premium suite with a beautiful view. The room was fully electronic with everything at the touch of a button. When you open your door lights and tv turn on, curtains open. The bathroom had the most amazing toilet/ bidet which was all at the touch of a button including individually programmable. (It’s the little things)The rooftop pool was beautiful. Towels, sunscreen and lemon water were there for your use. There was also drink and food service. The hotel also had a walkway to the shops, casino and metro train which we used and found convenient and less expensive than taking taxis.There is a little cafe which we used for breakfast and it offered tea, coffee, juice, breakfast sandwiches, yogurt etc. Simple yet filling and delicious. Definitely a must stay if you are visiting Singapore",January 2024,3,5.0
Best In Town,"The gym service provides a well-equipped facility with a variety of workout options. uma, odi and chano very helpful and is knowledgeable and friendly, creating a welcoming atmosphere. However, cleanliness could be improved, and peak hours may lead to crowded spaces. Overall, it offers a solid fitness experience with room for some enhancements.",January 2024,1,5.0
TOP TOP TOP,"The gym exceeded my expectations in every aspect. The staff was incredibly helpful and friendly, creating a welcoming atmosphere. The facility was well-equipped with state-of-the-art machines and ample space for various workouts. What stood out the most was the impeccable cleanliness throughout, reflecting a commitment to hygiene and member satisfaction. Overall, a top-notch gym experience that combines excellent staff, cutting-edge equipment, and a pristine environment. Highly recommended for fitness enthusiasts seeking a premium workout environment.",January 2024,1,5.0
Fantastic experience!,What a beautiful hotel.  The staff were warm and welcoming.  Our room was great.  Views are spectacular.  Fantastic restaurants to choose from.  Shop till you drop if you like that sort of thing.  It’s a quick 20 min drive to Changi.  Definitely worth the price tag though it is a bit steep.,January 2024,78,5.0
Luxury hotel but services dont match the high price,"We were really looking forward to staying at this hotel. There were some positives and some negatives. Although we gave the hotel a 4 stars, there were still negatives. The 4 stars were mostly due to the hotel architecture itself. It is a beautiful, well designed hotel, rooms are really nice and very modern, with lots of upgrades.Now for the negatives. The hotel was extremely busy so check-in process took a very long time. In fact we had two rooms and one of the rooms was not ready for hours. The rooftop pool on the top of the hotel was crazy busy. We could not find a place to sit. Looks like there are a lot of one night stay guest who just want to experience the hotel for a night. The breakfast buffer on the top floor next to the rooftop pool left a lot to be desired. The breakfast was not that great. We expected better for the quality of the hotel. We asked for a late checkout and was told no late checkout allowed. We spent good money for two rooms and thought one hour late checkout was not a lot to ask for. They did offer to store our luggage and provide a room to change but we could not stay in our room for an hour extra.It is a pretty pricey hotel. Nice hotel and its really a choice if you want to spend the high price to stay there. The services could have been better for such a pricey hotel.",July 2023,159,4.0
Best hotel gym ever!,"I’ve been travelling for work and pleasure for 30 years, this is the best hotel gym I’ve ever had the pleasure to attend in Australia or Asia. Great weights set up with free weights which is not common, dumbbells up to 40kg if you’re heaps stronger than me. Also heaps of cardio machines super attentive staff exemplified by Oddie and Chanok, looking after your every need. If you stay at the hotel and are interested in fitness it’s a must visit.",January 2024,1,5.0
Great fitness experience,"Located at the Shopees at 3rd floor. Nice & clean gym, complete equipments, and the service was great, the staff, Chanok was very friendly & helpful.. would come back again next time. On february 2024, the fitness center have classes to enjoy.",January 2024,2,5.0
Deafening construction noise for hours.,"Terrible.  Very loud construction that they don’t tell you about until check in.  Say they will move you if it bothers you.  It was deafening and when you call they say sorry, we can’t move you.  It was so loud, for hours.  Do. It book until it is done. It will totally ruin your stay.",January 2024,23,1.0
Tourist processing factory,"This hotel has five star rooms and facilities but is essentially a tourist processing factory.  They offer what they offer, there is no variation to the standard fare. If you complain about anything the staff apologise but do nothing about it.",January 2024,32,2.0
Good Service!,"Good service from the Fitness Centre specially for Umah and Oddie! Cheers and keep up the good job! Always come here to the old gym before but now bigger but no sauna, hot pool and steam room. Hopefully soon they will put more equipments and sauna.",January 2024,1,5.0
Great gym facilities,I went to the fitness center and it was a lovely experience. Uma and Alfa were very attentive to my needs and offered me complimentary tea after my workout.Their workout equipment is high quality and complete. I had no trouble completing my workout. The locker room and shower facilities were also very good.,January 2024,1,5.0
Bucket list hotel,"We splurged to stay here for the final night of our Singapore stopover. We were lucky to get upgraded to a newly renovated room overlooking the park, and it was pure luxury. So this review comes with the caveat that we did not pay full price for the room we got. If we'd stayed in the lower room type we actually booked (which was still incredibly expensive), our review would only be 4 stars because it wouldn't have been as special.Moving on... The lobby was busy but there were helpful staff to direct us, and check-in was relatively easy. We tried using the app but it wouldn't sync our booking to our room (possibly because of the upgrade?).The rooftop pool is as amazing as everyone says. Unfortunately we had bad weather and didn't get to fully enjoy it, but can't blame the hotel for that. If you get a room overlooking the park, you can enjoy the Supertree light show from the comfort of your room! Great for us since it was raining during the show, so we didn't have to risk getting soaked.They kindly gave us access to a shower room after check-out so we could freshen up before our evening flight home. It was basically a small hotel room (no bed) with the bathroom stocked with amenities, plus water bottles and snacks. Amazing!It's important to note that all the shops and restaurants in the adjoining mall have significantly inflated prices. Even Starbucks and Din Tai Fung (dumpling restaurant) were way more expensive than at other Singapore locations. On that note, we highly recommend Origin + Bloom cafe in the lobby for a coffee and pastry.Would we stay here again? We wouldn't come back until all rooms have been renovated, to ensure it's the special experience you'd expect for the price you pay.",January 2024,117,5.0
The perfect anniversary celebration experience,"The perfect experience for an Anniversary celebration, thank you to all the MBS team! From the pre-hotel transfer arrangement, to the welcome surprise, to even more lovely surprises, we were spoiled beyond belief. It was our 30th dating anniversary and I chose a Suite at MBS to spend a special night with my wife. We enjoyed the whole experience: the room was fantastic, the service was incredible, the attention to detail second to none, the pool lovely as always, breakfast was good. We got help from the team booking a last minute reservation for dinner at one of the MBS restaurants, which was fantastic, but our choice of restaurant was not as good as others we've had before at MBS. Still very grateful to the MBS team - you guys rock!",March 2024,35,5.0
Wonderful stay.,"I usually find hyped up hotels disappointing but not Marina bay sands hotel. It was amazing and lived up to the reviews. The infinity pool was superb as were the helpful staff, finding me a pod to sit in as I had to stay out of the sun. The room was beautifully appointed with nice little added touches, bookmarks and cable ties left by room staff and a soft drink complimentary bar with crisps. The two breakfasts restaurants were excellent with fabulous choice. Perhaps the most pleasing aspect was that we had booked 3 nights but had to check out a night early as we had made a mistake with our flight and Judith, the manager agreed to just charge us for 2 nights. This was very much appreciated. Thank you to all the wonderful staff at marina bay sands.",March 2024,17,5.0
Great to see,"It was an amazing experience inside the Marina bay sands, luxurious and artistic. Went to the other shopping side to see a wonderful canal ride. Venice like setting inside the luxury all around. It had a great casino also to have a look around.",January 2024,54,4.0
Relaxing and tuning in to self through various textures of sound,"What a lovely way to start the morning! Peaceful with serene morning breeze and awesome sights of Singapore. It was at the top of MBS (on level 56). You’ll get a 360 degrees view from there. Not just the coast, but also Gardens by the bay, the buildings around and all.",March 2024,27,5.0
Good customer service,"Roselyn was very professional and attentive during her shift. Cheers!Definitely felt the price was worth it during my stay here at the gym. She knew what exactly was needed or wanted. Thanks to her services, I definitely would come again. The rest of the facilities was amazing too, thanks for having us.",March 2024,4,5.0
Excellent infinity pool,"The pool is amazing and most rooms have some view. The hotel is kind of set like a Vegas hotel with many stores and restaurants inside the hotel. The rooms are of decent size and the breakfast in the top restaurant has great atmosphere. There are many things to do to keep yourself occupied along with it, many popular attractions are close by.",December 2023,6,5.0
Chris at the Gift Shop Practically saved us!,"Went to stay at MBS while I do medical check up, can absolutely say their service is amazing especially Chris at the gift shop, we were in need of a umbrella as it was raining heavily late at night and I guess the gift store was about to close but Chris from the Gift Shop, reopen the counter and even asked us if there is anything else we need! Superb hospitality even from the Gift Shop. Top Notch",February 2024,1,5.0
Bucket Luxury Hotel Experience,"We stayed in this iconic hotel for a bucket list night.  We did all our Singapore touring before we had our 1-night stay so that we could enjoy the hotel amenities the WHOLE time without leaving the property.  We spent a lot of time at the pool.  It rained one afternoon, but we were the first ones back in the pool once it was cleared from the lightning storm.  The Infinity pool gets high ratings.  Wasn't too crowded and we were able to get the seating right next to the pool.We enjoyed our balcony the most --recommend facing the Gardens.  We were able to sit back, relax, and watch the Gardens by the Bay Light show.",January 2024,441,5.0
The hotel is perfect!,"The experience of staying for 3 days in this  hotel is fantastic, because of the great and professional services from Eunice Marasigan , everything is perfect! My kids really have a great time playing in the swimming pool and having fun in different kinds of activities, the breakfast is great too! Will highly recommend to my friends!I am looking forward to my next staying here now!",March 2024,1,5.0
"Marina Bay Sands , always our first choice for a stay cation.","When it comes to booking a stay cation, Marina Bay Sands is always the first thing that comes in our mind. This is my family's first choice for stay cation. Even though it is not our first time in MBS, the excitement were still there, especially for my kids. MBS became their standard for a stay cation which we haven't found any match yet.During our stay, I would like to commend the services of the staffs, especially those assigned in the infinity pool and concierge. Mr Cornelius was very kind and polite when we checked-in.When we are in the infinity pool, Mr Dennis, Mr Ramon and Ms Vicky were very friendly and courteous, especially Mr. Dennis.Mr. Dennis has showed the hospitality trait of being a Filipino. He always checks on us and other guests if we are okay and enjoying the infinity pool. Especially those with kids like me.Over all it was exciting, fun and always memorable.Definitely, we will come back again! Thank you MBS!",January 2024,5,5.0
Great stay,"First time at MBS! Lovely place, worth the hype . Brilliant restaurants and great shopping . Not to mention the pool. Most of the rooms newly renovated rooms are just superb. Special mention to Chandok at the fitness centre. Will definitely come again.",January 2024,2,5.0
